Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,"Come vendutoper porzione (5,4 g)",Biscotti,Biscuits and cakes,Sugary snacks
Grassi,18 g,"0,972 g","-2%18,3 g","-2%18,4 g","-19%22,2 g"
- Acidi Grassi saturi,"8,8 g","0,475 g","+22%7,2 g","+19%7,41 g","-19%10,8 g"
- Acidi grassi monoinsaturi,"7,7 g","0,416 g",?,?,?
- Acidi grassi polinsaturi,"1,5 g","0,081 g",?,?,?
Carboidrati,75 g,"4,05 g","+13%66,6 g","+16%64,7 g",+27%59 g
- Zuccheri,20 g,"1,08 g","-16%23,9 g","-18%24,4 g","-25%26,8 g"
- Amido,55 g,"2,97 g",?,?,?
Fibra alimentare,1 g,"0,054 g","-75%3,94 g","-74%3,88 g","-77%4,39 g"
Proteine,3 g,"0,162 g","-57%6,99 g","-57%6,99 g","-58%7,15 g"
Sale,"0,508 g","0,027 g","-16%0,604 g","-14%0,591 g","+6%0,477 g"
Sodio,"0,2 g","0,011 g","-16%0,238 g","-14%0,233 g","+6%0,188 g"
Nutrition score - France,18,18,"+22%14,8","+18%15,2","+8%16,7"
Nutri-Score,D,D,D,D,D
