Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Mozzarella,Pasta filata,Italian cheeses,Formaggio,Fermented foods,Fermented milk products,Latticini
Grassi,16 g,"-18%19,5 g","-19%19,7 g","-19%19,7 g","-23%20,7 g","+34%11,9 g","+34%11,9 g","+4%15,4 g"
- Acidi Grassi saturi,11 g,"-17%13,3 g","-16%13,1 g","-17%13,3 g","-20%13,7 g","+39%7,9 g","+39%7,9 g","+14%9,61 g"
Carboidrati,"1,5 g","+53%0,98 g","-54%3,26 g","+5%1,43 g","-39%2,46 g","-79%7,16 g","-79%7,16 g","-75%6,1 g"
- Zuccheri,"1,1 g","+41%0,779 g","+29%0,85 g","-15%1,3 g","-20%1,37 g","-82%6,16 g","-82%6,16 g","-80%5,42 g"
Fibra alimentare,0 g,?,?,?,"-100%0,113 g","-100%0,205 g","-100%0,205 g","-100%0,133 g"
Proteine,19 g,"+15%16,5 g","+25%15,2 g","+20%15,8 g",+19%16 g,+90%10 g,+90%10 g,"+141%7,89 g"
Sale,"0,4 g","-38%0,641 g","-41%0,673 g","-44%0,72 g","-57%0,921 g","-24%0,529 g","-24%0,529 g","-1%0,405 g"
Sodio,"0,157 g","-38%0,252 g","-41%0,265 g","-44%0,283 g","-57%0,363 g","-24%0,208 g","-24%0,208 g","-1%0,159 g"
Calcio,600 mg,?,?,?,+15%523 mg,+60%374 mg,+60%374 mg,+124%268 mg
Nutrition score - France,8,"-15%9,43","-17%9,59","-16%9,58","-23%10,4","+27%6,32","+27%6,32","+37%5,86"
Nutri-Score,C,C,C,C,D,C,C,C
