Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (100 g),Pastas,Cereals and their products,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,0 g,0 g,"-100%2,19 g","-100%5,31 g","-100%6,24 g","-100%10,7 g","-100%9,61 g"
- Acidi Grassi saturi,0 g,0 g,"-100%0,583 g","-100%1,44 g","-100%1,7 g","-100%2,36 g","-100%2,12 g"
Carboidrati,0 g,0 g,"-100%64,7 g","-100%60,4 g","-100%59,9 g","-100%47,6 g","-100%43,9 g"
- Zuccheri,0 g,0 g,"-100%2,89 g","-100%7,65 g","-100%6,61 g","-100%8,59 g","-100%8,81 g"
Fibra alimentare,"3,56 g","3,56 g","-15%4,17 g","-25%4,77 g","-25%4,75 g","-19%4,38 g","-12%4,06 g"
Proteine,0 g,0 g,-100%11 g,"-100%9,84 g","-100%9,48 g","-100%7,76 g",-100%7 g
Sale,0 g,0 g,"-100%0,097 g","-100%0,307 g","-100%0,729 g","-100%0,593 g","-100%0,533 g"
Sodio,0 g,0 g,"-100%0,038 g","-100%0,121 g","-100%0,287 g","-100%0,233 g","-100%0,21 g"
Alcol,0 % vol,0 % vol,?,?,?,0 % vol,0 % vol
Nutrition score - France,-5,-5,-32,"-670%0,877","-263%3,06","-262%3,08","-229%3,87"
Nutri-Score,A,A,A,B,C,C,C
