Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (125 g),Mozzarella,Pasta filata,Italian cheeses,Formaggio,Fermented foods,Fermented milk products,Latticini
Grassi,18 g,"22,5 g","-8%19,5 g","-9%19,7 g","-9%19,7 g","-13%20,7 g","+51%11,9 g","+51%11,9 g","+17%15,4 g"
- Acidi Grassi saturi,12 g,15 g,"-10%13,3 g","-8%13,1 g","-10%13,3 g","-12%13,7 g","+52%7,9 g","+52%7,9 g","+25%9,61 g"
Carboidrati,"1,5 g","1,88 g","+53%0,98 g","-54%3,26 g","+5%1,43 g","-39%2,46 g","-79%7,16 g","-79%7,16 g","-75%6,1 g"
- Zuccheri,"0,9 g","1,13 g","+16%0,779 g","+6%0,85 g","-31%1,3 g","-34%1,37 g","-85%6,16 g","-85%6,16 g","-83%5,42 g"
Fibra alimentare,0 g,0 g,?,?,?,"-100%0,113 g","-100%0,205 g","-100%0,205 g","-100%0,133 g"
Proteine,17 g,"21,2 g","+3%16,5 g","+12%15,2 g","+8%15,8 g",+6%16 g,+70%10 g,+70%10 g,"+115%7,89 g"
Sale,"0,61 g","0,762 g","-5%0,641 g","-9%0,673 g","-15%0,72 g","-34%0,921 g","+15%0,529 g","+15%0,529 g","+51%0,405 g"
Sodio,"0,24 g","0,3 g","-5%0,252 g","-9%0,265 g","-15%0,283 g","-34%0,363 g","+15%0,208 g","+15%0,208 g","+51%0,159 g"
Vitamina A (Retinolo),190 µg,237 µg,?,?,?,?,?,?,?
Calcio,318 mg,398 mg,?,?,?,-39%523 mg,-15%374 mg,-15%374 mg,+19%268 mg
Fosforo,225 mg,281 mg,?,?,?,?,?,?,?
Nutrition score - France,9,9,"-5%9,43","-6%9,59","-6%9,58","-13%10,4","+42%6,32","+42%6,32","+54%5,86"
Nutri-Score,C,C,C,C,C,D,C,C,C
