Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Biscotti,Biscuits and cakes,Sugary snacks
Grassi,"19,7 g","+8%18,3 g","+7%18,4 g","-11%22,2 g"
- Acidi Grassi saturi,"2,1 g","-71%7,2 g","-72%7,41 g","-81%10,8 g"
Carboidrati,"60,4 g","-9%66,6 g","-7%64,7 g",+2%59 g
- Zuccheri,"19,2 g","-20%23,9 g","-21%24,4 g","-28%26,8 g"
Fibra alimentare,"9,5 g","+141%3,94 g","+145%3,88 g","+116%4,39 g"
Proteine,8 g,"+14%6,99 g","+14%6,99 g","+12%7,15 g"
Sale,"0,875 g","+45%0,604 g","+48%0,591 g","+83%0,477 g"
Sodio,"0,344 g","+45%0,238 g","+48%0,233 g","+83%0,188 g"
Fosforo,225 mg,?,?,?
Ferro,"2,5 mg",?,?,?
Magnesio,74 mg,?,?,?
Nutrition score - France,9,"-39%14,8","-41%15,2","-46%16,7"
Nutri-Score,C,D,D,D
