Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (40g (2 biscuits)),Sugary snacks
Grassi,21 g,"8,4 g","-5%22,2 g"
- Acidi Grassi saturi,8 g,"3,2 g","-26%10,8 g"
Carboidrati,60 g,24 g,+2%59 g
- Zuccheri,24 g,"9,6 g","-10%26,8 g"
Fibra alimentare,"7,9 g","3,16 g","+80%4,39 g"
Proteine,"6,2 g","2,48 g","-13%7,15 g"
Sale,"0,54 g","0,216 g","+13%0,477 g"
Sodio,"0,213 g","0,085 g","+13%0,188 g"
Vitamina B1 (tiamina),"0,69 mg","0,276 mg",?
Vitamina B2 (Riboflavina),"0,88 mg","0,352 mg",?
Vitamina B3 / Vitamina PP (Niacina),"10,1 mg","4,04 mg",?
Vitamina B6 (piridoxina),"0,001 g",0 g,?
Vitamina B9 (Acido folico),126 µg,"50,4 µg",?
Vitamina B12 (Cobalamina),"1,6 µg","0,64 µg",?
Ferro,6 mg,"2,4 mg",?
Nutrition score - France,14,14,"-16%16,7"
Nutri-Score,D,D,D
