,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Fagioli stufati,100g,1 bicchiere (260 g),94 kcal,395 kJ,Pietanze e piatti unici
1,Stufato di manzo / Spezzatino,100g,1 bicchiere (196 g),95 kcal,399 kJ,Pietanze e piatti unici
2,Riso integrale,100g,1 bicchiere (185 g),362 kcal,1520 kJ,Pietanze e piatti unici
3,Burrito,100g,1 burrito (200 g),163 kcal,685 kJ,Pietanze e piatti unici
4,Chili con Carne,100g,1 bicchiere (253 g),105 kcal,441 kJ,Pietanze e piatti unici
5,Dahl,100g,1/2 bicchiere (92 g),330 kcal,1386 kJ,Pietanze e piatti unici
6,Enchilada,100g,1 enchilada (192 g),168 kcal,706 kJ,Pietanze e piatti unici
7,Fajita,100g,1 porzione (248 g),117 kcal,491 kJ,Pietanze e piatti unici
8,Riso saltato,100g,1 porzione (356 g),186 kcal,781 kJ,Pietanze e piatti unici
9,Hummus,100g,1 bicchiere (246 g),177 kcal,743 kJ,Pietanze e piatti unici
10,Kebab,100g,1 kebab (360 g),215 kcal,903 kJ,Pietanze e piatti unici
11,Lasagne,100g,1 porzione (215 g),132 kcal,554 kJ,Pietanze e piatti unici
12,Maccheroni al formaggio,100g,1 porzione (189 g),370 kcal,1554 kJ,Pietanze e piatti unici
13,Purè di patate,100g,1 bicchiere (210 g),83 kcal,349 kJ,Pietanze e piatti unici
14,Polpettone di carne,100g,1 polpettone (284 g),254 kcal,1067 kJ,Pietanze e piatti unici
15,Naan,100g,1 naan (84 g),310 kcal,1302 kJ,Pietanze e piatti unici
16,Paella,100g,1 porzione (400 g),156 kcal,655 kJ,Pietanze e piatti unici
17,Minestra di piselli,100g,1 scodella (253 g),75 kcal,315 kJ,Pietanze e piatti unici
18,Anitra alla pechinese,100g,1/2 anitra (178 g),225 kcal,945 kJ,Pietanze e piatti unici
19,Pizza,100g,1 fetta (102 g),267 kcal,1121 kJ,Pietanze e piatti unici
20,Braciola di maiale,100g,1 pezzo (131 g),225 kcal,945 kJ,Pietanze e piatti unici
21,Insalata di patate,100g,1/3 di bicchiere (95 g),143 kcal,601 kJ,Pietanze e piatti unici
22,Ravioli,100g,5 ravioli (66 g),203 kcal,853 kJ,Pietanze e piatti unici
23,Roast beef,100g,1 fetta (21 g),111 kcal,466 kJ,Pietanze e piatti unici
24,Spaghetti al ragù,100g,1 porzione (283 g),132 kcal,554 kJ,Pietanze e piatti unici
25,Involtino primavera,100g,1 pezzo (140 g),250 kcal,1050 kJ,Pietanze e piatti unici
26,Taco,100g,1 taco (98 g),217 kcal,911 kJ,Pietanze e piatti unici
27,Pollo al forno,100g,1 petto (172 g),164 kcal,689 kJ,Pietanze e piatti unici
28,Caesar salad con pollo,100g,1 insalata (309 g),127 kcal,533 kJ,Pietanze e piatti unici
29,Fish & Chips,100g,1 porzione (300 g),195 kcal,819 kJ,Pietanze e piatti unici
30,Farinata,100g,1 porzione (78 g),116 kcal,487 kJ,Pietanze e piatti unici
31,Melanzane alla parmigiana,100g,1 porzione (199 g),181 kcal,760 kJ,Pietanze e piatti unici
32,Pasta al pomodoro,100g,1 porzione (305 g),136 kcal,571 kJ,Pietanze e piatti unici
33,Spaghetti allo scoglio,100g,1 porzione (300 g),255 kcal,1071 kJ,Pietanze e piatti unici
34,Spaghetti alle vongole,100g,1 porzione (300 g),291 kcal,1222 kJ,Pietanze e piatti unici
35,Arrosto di vitello,100g,1 fetta (97 g),230 kcal,966 kJ,Pietanze e piatti unici
36,Risotto,100g,1 porzione (300 g),118 kcal,496 kJ,Pietanze e piatti unici
37,Pasta all'arrabbiata,100g,1 porzione (300 g),171 kcal,718 kJ,Pietanze e piatti unici
38,Pesce al cartoccio,100g,1 filetto (120 g),126 kcal,529 kJ,Pietanze e piatti unici
39,Pesce al sale,100g,1 filetto (106 g),121 kcal,508 kJ,Pietanze e piatti unici
40,Cotoletta impanata / Cotoletta alla milanese,100g,1 porzione (150 g),211 kcal,886 kJ,Pietanze e piatti unici
41,Pollo arrosto,100g,1 petto (85 g),165 kcal,693 kJ,Pietanze e piatti unici
42,Tortellini in brodo,100g,1 porzione (250 g),70 kcal,294 kJ,Pietanze e piatti unici
43,Vitello tonnato,100g,1 porzione (181 g),160 kcal,672 kJ,Pietanze e piatti unici
44,Insalata russa,100g,1 porzione (150 g),315 kcal,1323 kJ,Pietanze e piatti unici
