,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Agar agar,100g,1 cucchiaio (5 g),26 kcal,109 kJ,Ingredienti per torte e focacce
1,Sciroppo d'agave,100g,1/4 di bicchiere (55 g),310 kcal,1302 kJ,Ingredienti per torte e focacce
2,Estratto di mandorle,100g,1 cucchiaio (8 g),258 kcal,1084 kJ,Ingredienti per torte e focacce
3,Mandorle,100g,1 bicchiere (92 g),529 kcal,2222 kJ,Ingredienti per torte e focacce
4,Lievito per dolci / Lievito chimico,100g,1 cucchiaino (4.6 g),53 kcal,223 kJ,Ingredienti per torte e focacce
5,Siero di latte / Latticello,100g,1 bicchiere (245 g),62 kcal,260 kJ,Ingredienti per torte e focacce
6,Zucchero di canna,100g,1 cucchiaio (5 g),387 kcal,1625 kJ,Ingredienti per torte e focacce
7,Scaglie di cioccolato,100g,1 cucchiaio (15 g),467 kcal,1961 kJ,Ingredienti per torte e focacce
8,Codette di cioccolato / Granella di cioccolato,100g,1 cucchiaio (5 g),500 kcal,2100 kJ,Ingredienti per torte e focacce
9,Cacao in polvere,100g,1 cucchiaio (5.4 g),228 kcal,958 kJ,Ingredienti per torte e focacce
10,Latte di cocco,100g,1 bicchiere (240 g),50 kcal,210 kJ,Ingredienti per torte e focacce
11,Sciroppo di mais,100g,1 cucchiaio (19 g),281 kcal,1180 kJ,Ingredienti per torte e focacce
12,Amido di mais,100g,1 bicchiere (128 g),381 kcal,1600 kJ,Ingredienti per torte e focacce
13,Cioccolato di copertura / Couverture,100g,1 confezione (200 g),600 kcal,2520 kJ,Ingredienti per torte e focacce
14,Formaggio cremoso,100g,1 porzione (20 g),54 kcal,227 kJ,Ingredienti per torte e focacce
15,Zenzero cristallizzato,100g,1 cucchiaio (5.2 g),335 kcal,1407 kJ,Ingredienti per torte e focacce
16,Rum scuro,100g,1 bicchierino (40 g),216 kcal,907 kJ,Ingredienti per torte e focacce
17,Albicocche secche / Albicocche essiccate,100g,"1 bicchiere, tagliate a metà (130 g)",241 kcal,1012 kJ,Ingredienti per torte e focacce
18,Cranberry essiccati / Mirtilli rossi essiccati,100g,1/3 di bicchiere (40 g),308 kcal,1294 kJ,Ingredienti per torte e focacce
19,Fichi secchi,100g,1 fico (8.4 g),249 kcal,1046 kJ,Ingredienti per torte e focacce
20,Prugne secche / Prugne essiccate,100g,"1 bicchiere, snocciolate (248 g)",107 kcal,449 kJ,Ingredienti per torte e focacce
21,Uovo,100g,1 uovo (60 g),97 kcal,407 kJ,Ingredienti per torte e focacce
22,Liquore allo zabaione,100g,1 bicchiere (254 g),88 kcal,370 kJ,Ingredienti per torte e focacce
23,Albume,100g,1 albume (25 g),13 kcal,55 kJ,Ingredienti per torte e focacce
24,Tuorlo,100g,1 tuorlo (16 g),322 kcal,1352 kJ,Ingredienti per torte e focacce
25,Latte evaporato,100g,1 bicchiere (252 g),134 kcal,563 kJ,Ingredienti per torte e focacce
26,Farina,100g,1 bicchiere (120 g),364 kcal,1529 kJ,Ingredienti per torte e focacce
27,Fruttosio,100g,1 cucchiaino (4 g),368 kcal,1546 kJ,Ingredienti per torte e focacce
28,Gelatina,100g,1 cucchiaio (7 g),335 kcal,1407 kJ,Ingredienti per torte e focacce
29,Glucosio / Destrosio,100g,1 cucchiaio (20 g),286 kcal,1201 kJ,Ingredienti per torte e focacce
30,Sciroppo di glucosio,100g,1/4 di bicchiere (55 g),387 kcal,1625 kJ,Ingredienti per torte e focacce
31,Zucchero semolato,100g,1 bustina (2.8 g),387 kcal,1625 kJ,Ingredienti per torte e focacce
32,Nocciole,100g,"1 bicchiere, macinate (75 g)",628 kcal,2638 kJ,Ingredienti per torte e focacce
33,Zucchero grezzo,100g,1 bicchiere (220 g),395 kcal,1659 kJ,Ingredienti per torte e focacce
34,Rum,100g,1 bicchierino (40 g),246 kcal,1033 kJ,Ingredienti per torte e focacce
35,Farina di malto,100g,1 bicchiere (162 g),361 kcal,1516 kJ,Ingredienti per torte e focacce
36,Latte maltato,100g,1 cucchiaio (7 g),405 kcal,1701 kJ,Ingredienti per torte e focacce
37,Maltitolo,100g,1 cucchiaino (4.5 g),210 kcal,882 kJ,Ingredienti per torte e focacce
38,Maltodestrina,100g,1 cucchiaino (3.2 g),375 kcal,1575 kJ,Ingredienti per torte e focacce
39,Maltosio,100g,1 cucchiaio (13 g),344 kcal,1445 kJ,Ingredienti per torte e focacce
40,Sciroppo d'acero,100g,1/4 di bicchiere (55 g),270 kcal,1134 kJ,Ingredienti per torte e focacce
41,Melassa,100g,1 bicchiere (337 g),290 kcal,1218 kJ,Ingredienti per torte e focacce
42,Estratto di menta piperita,100g,1 cucchiaino (5 g),0 kcal,0 kJ,Ingredienti per torte e focacce
