,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Cappone,100g,1 cappone (1418 g),229 kcal,962 kJ,Pollame e volatili
1,Pollo,100g,1/2 pollo (334 g),219 kcal,920 kJ,Pollame e volatili
2,Petto di pollo,100g,1 petto (200 g),172 kcal,722 kJ,Pollame e volatili
3,Ali di pollo,100g,1 ala (53 g),266 kcal,1117 kJ,Pollame e volatili
4,Anitra,100g,1/2 anitra (634 g),337 kcal,1415 kJ,Pollame e volatili
5,Petto d'anitra,100g,1 petto (73 g),201 kcal,844 kJ,Pollame e volatili
6,Oca,100g,1/2 oca (591 g),305 kcal,1281 kJ,Pollame e volatili
7,Faraona,100g,1/2 faraona (345 g),158 kcal,664 kJ,Pollame e volatili
8,Struzzo,100g,1 porzione (85 g),145 kcal,609 kJ,Pollame e volatili
9,Fagiano,100g,1 porzione (100 g),239 kcal,1004 kJ,Pollame e volatili
10,Petto di fagiano,100g,1/2 petto (182 g),133 kcal,559 kJ,Pollame e volatili
11,Coscia di fagiano,100g,1 coscia (107 g),239 kcal,1004 kJ,Pollame e volatili
12,Piccione,100g,1 piccione (199 g),142 kcal,596 kJ,Pollame e volatili
13,Gallinella,100g,1 porzione (100 g),200 kcal,840 kJ,Pollame e volatili
14,Quaglia,100g,1 quaglia (92 g),227 kcal,953 kJ,Pollame e volatili
15,Petto di quaglia,100g,1 petto (56 g),123 kcal,517 kJ,Pollame e volatili
16,Tacchino,100g,1 tacchino (3812 g),189 kcal,794 kJ,Pollame e volatili
17,Petto di tacchino,100g,1/2 petto (864 g),135 kcal,567 kJ,Pollame e volatili
18,Cotoletta di tacchino,100g,1 cotoletta (113 g),189 kcal,794 kJ,Pollame e volatili
19,Ali di tacchino,100g,1 ala (24 g),221 kcal,928 kJ,Pollame e volatili
20,Anitra selvatica,100g,1/2 anitra (270 g),211 kcal,886 kJ,Pollame e volatili
21,Cosce di pollo,100g,1 coscia (546 g),174 kcal,731 kJ,Pollame e volatili
22,Fettina di tacchino,100g,1 fettina (170 g),189 kcal,794 kJ,Pollame e volatili
23,Ventrigli di pollo,100g,1 bicchiere (145 g),154 kcal,647 kJ,Pollame e volatili
24,Cosce di tacchino,100g,1 coscia (546 g),208 kcal,874 kJ,Pollame e volatili
25,Gallina,100g,1 porzione (150 g),166 kcal,697 kJ,Pollame e volatili
26,Galletto,100g,1/2 galletto (320 g),160 kcal,672 kJ,Pollame e volatili
