,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Formaggio cheddar,100g,1 fetta (28 g),403 kcal,1693 kJ,Formaggio a fette
1,Piatto di formaggi misti,100g,1 fetta (28 g),357 kcal,1499 kJ,Formaggio a fette
2,Formaggio a fette,100g,1 fetta (28 g),356 kcal,1495 kJ,Formaggio a fette
3,Edam,100g,1 fetta (28 g),357 kcal,1499 kJ,Formaggio a fette
4,Emmental,100g,1 fetta (25 g),357 kcal,1499 kJ,Formaggio a fette
5,Esrom,100g,1 fetta (23 g),322 kcal,1352 kJ,Formaggio a fette
6,Fol Epi,100g,1 fetta (24 g),388 kcal,1630 kJ,Formaggio a fette
7,Gouda,100g,1 confezione (198 g),356 kcal,1495 kJ,Formaggio a fette
8,Havarti,100g,1 fetta (28 g),371 kcal,1558 kJ,Formaggio a fette
9,Leerdammer,100g,1 fetta (25 g),284 kcal,1193 kJ,Formaggio a fette
10,Formaggio maasdam,100g,1 fetta (18 g),344 kcal,1445 kJ,Formaggio a fette
11,Mozzarella,100g,1 fetta (28 g),280 kcal,1176 kJ,Formaggio a fette
12,Munster,100g,1 fetta (28 g),368 kcal,1546 kJ,Formaggio a fette
13,Formaggio al peperoncino,100g,1 fetta (21 g),100 kcal,420 kJ,Formaggio a fette
14,Formaggio affumicato,100g,1 fetta (20 g),410 kcal,1722 kJ,Formaggio a fette
15,Tilsit,100g,1 fetta (25 g),340 kcal,1428 kJ,Formaggio a fette
16,Gouda fresco,100g,1 fetta (28 g),356 kcal,1495 kJ,Formaggio a fette
17,Bergkäse,100g,1 fetta (24 g),418 kcal,1756 kJ,Formaggio a fette
18,Butterkäse,100g,1 fetta (26 g),388 kcal,1630 kJ,Formaggio a fette
19,Formaggio da sandwich / Sottilette,100g,1 fetta (21 g),148 kcal,622 kJ,Formaggio a fette
