Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (30g)
Grassi,"1,5 g","0,45 g"
- Acidi Grassi saturi,"0,4 g","0,12 g"
Carboidrati,81 g,"24,3 g"
- Zuccheri,9 g,"2,7 g"
Fibra alimentare,4 g,"1,2 g"
Proteine,7 g,"2,1 g"
Sale,"0,3 g","0,09 g"
Sodio,"0,118 g","0,035 g"
Vitamina B1 (tiamina),"1,6 mg","0,48 mg"
Vitamina B2 (Riboflavina),"2,1 mg","0,63 mg"
Vitamina B3 / Vitamina PP (Niacina),24 mg,"7,2 mg"
Vitamina B6 (piridoxina),"0,002 g","0,001 g"
Vitamina B9 (Acido folico),297 µg,"89,1 µg"
Vitamina B12 (Cobalamina),"1,4 µg","0,42 µg"
Vitamina B5 (Acido pantotenico),"8,9 mg","2,67 mg"
Calcio,500 mg,150 mg
Ferro,"20,9 mg","6,27 mg"
Nutrition score - France,-2,-2
Nutri-Score,A,A
