Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (21 g),Sugary snacks
Grassi,"8,8 g","1,85 g","-61%22,3 g"
- Acidi Grassi saturi,"4,8 g","1,01 g","-56%10,9 g"
Carboidrati,74 g,"15,5 g","+26%58,8 g"
- Zuccheri,"39,4 g","8,27 g","+47%26,8 g"
- Amido,"31,1 g","6,53 g",?
- Polialcoli/polioli (alcoli degli zuccheri),"3,5 g","0,735 g",?
Fibra alimentare,"1,2 g","0,252 g","-73%4,39 g"
Proteine,6 g,"1,26 g","-16%7,15 g"
Sale,"1,2 g","0,252 g","+154%0,472 g"
Sodio,"0,472 g","0,099 g","+154%0,186 g"
Vitamina B1 (tiamina),"1,2 mg","0,252 mg",?
Vitamina B2 (Riboflavina),"1,6 mg","0,336 mg",?
Vitamina B3 / Vitamina PP (Niacina),18 mg,"3,78 mg",?
Vitamina B6 (piridoxina),"0,002 g",0 g,?
Vitamina B9 (Acido folico),200 µg,42 µg,?
Vitamina B12 (Cobalamina),"2,5 µg","0,525 µg",?
Vitamina B5 (Acido pantotenico),6 mg,"1,26 mg",?
Ferro,14 mg,"2,94 mg",?
Nutrition score - France,20,20,"+20%16,7"
Nutri-Score,E,E,D
