,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1761,componenti principali
2,"Energia,  Ric con fibra", kJ,1764,componenti principali
3,"Energia,  ricalcolata", kcal,415,componenti principali
4,"Energia,  Ric con fibra", kcal,416,componenti principali
5,Proteine totali, g,"6,0",componenti principali
6,   Proteine animali, g,"2,2",componenti principali
7,   Proteine vegetali, g,"3,8",componenti principali
8,Lipidi totali, g,"8,2",componenti principali
9,   Lipidi animali, g,"6,6",componenti principali
10,   Lipidi vegetali, g,"1,6",componenti principali
11,Colesterolo, mg,87,componenti principali
12,Carboidrati disponibili (MSE), g,"84,7",componenti principali
13,   Amido (MSE), g,"54,6",componenti principali
14,   Carboidrati solubili (MSE), g,"30,1",componenti principali
15,Fibra alimentare totale, g,"0,4",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"4,0",componenti principali
18,Ferro, mg,"1,0",minerali ed elementi in traccia
19,Calcio, mg,32,minerali ed elementi in traccia
20,Sodio, mg,241,minerali ed elementi in traccia
21,Potassio, mg,111,minerali ed elementi in traccia
22,Fosforo, mg,144,minerali ed elementi in traccia
23,Zinco, mg,"0,60",minerali ed elementi in traccia
24,"Vitamina B1,  Tiamina", mg,"0,18",vitamine idrosolubili
25,"Vitamina B2,  Riboflavina", mg,"0,14",vitamine idrosolubili
26,Vitamina C, mg,0,vitamine idrosolubili
27,Niacina, mg,"0,90",vitamine idrosolubili
28,Vitamina B6, mg,"0,04",vitamine idrosolubili
29,Folati totali, µg,6,vitamine idrosolubili
30,   Retinolo eq. (RE), µg,tr,retinolo equivalente
31,   Retinolo, µg,tr,retinolo equivalente
32,   ß-carotene eq., µg,tr,retinolo equivalente
33,Vitamina E (ATE), mg,"1,40",retinolo equivalente
34,Vitamina D, µg,"0,00",retinolo equivalente
35,Acidi grassi saturi totali, g,"4,67",acidi grassi
36,Acidi grassi monoinsaturi totali, g,"2,25",acidi grassi
37,Acido oleico, g,"2,07",acidi grassi
38,Acidi grassi polinsaturi totali, g,"0,43",acidi grassi
39,Acido linoleico, g,"0,30",acidi grassi
40,Acido linolenico, g,"0,12",acidi grassi
41,Altri acidi grassi polinsaturi, g,"0,01",acidi grassi
