,components,unit,value,section
0,Parte edibile, %,68,componenti principali
1,"Energia,  ricalcolata", kJ,847,componenti principali
2,"Energia,  Ric con fibra", kJ,847,componenti principali
3,"Energia,  ricalcolata", kcal,204,componenti principali
4,"Energia,  Ric con fibra", kcal,204,componenti principali
5,Proteine totali, g,"18,1",componenti principali
6,   Proteine animali, g,"18,1",componenti principali
7,   Proteine vegetali, g,"0,0",componenti principali
8,Lipidi totali, g,"14,4",componenti principali
9,   Lipidi animali, g,"14,4",componenti principali
10,   Lipidi vegetali, g,"0,0",componenti principali
11,Colesterolo, mg,65,componenti principali
12,Carboidrati disponibili (MSE), g,"0,4",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"0,4",componenti principali
15,Fibra alimentare totale, g,"0,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"66,2",componenti principali
18,Ferro, mg,"0,1",minerali ed elementi in traccia
19,Calcio, mg,13,minerali ed elementi in traccia
20,Sodio, mg,78,minerali ed elementi in traccia
21,Potassio, mg,418,minerali ed elementi in traccia
22,Fosforo, mg,180,minerali ed elementi in traccia
23,Zinco, mg,"5,30",minerali ed elementi in traccia
24,Magnesio, mg,30,minerali ed elementi in traccia
25,Rame, mg,"0,08",minerali ed elementi in traccia
26,Selenio, µg,"23,0",minerali ed elementi in traccia
27,Cloro, mg,88,minerali ed elementi in traccia
28,Iodio, µg,5,minerali ed elementi in traccia
29,Manganese, mg,"0,01",minerali ed elementi in traccia
30,Zolfo, mg,190,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,tr,vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,09",vitamine idrosolubili
33,Vitamina C, mg,0,vitamine idrosolubili
34,Niacina, mg,"3,00",vitamine idrosolubili
35,Vitamina B6, mg,"0,59",vitamine idrosolubili
36,Folati totali, µg,6,vitamine idrosolubili
37,Acido pantotenico, mg,"0,95",vitamine idrosolubili
38,Biotina, µg,"1,2",vitamine idrosolubili
39,Vitamina B12, µg,"11,9",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,tr,retinolo equivalente
41,   Retinolo, µg,tr,retinolo equivalente
42,   ß-carotene eq., µg,0,retinolo equivalente
43,Vitamina E (ATE), mg,"0,40",retinolo equivalente
44,Vitamina D, µg,"0,00",retinolo equivalente
45,Acidi grassi saturi totali, g,"5,69",acidi grassi
46,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"0,00",acidi grassi
47,Acido laurico, g,"0,00",acidi grassi
48,Acido miristico, g,"0,37",acidi grassi
49,Acido palmitico, g,"4,09",acidi grassi
50,Acido stearico, g,"1,24",acidi grassi
51,Acido arachidico, g,"0,00",acidi grassi
52,Acido beenico, g,"0,00",acidi grassi
53,Acidi grassi monoinsaturi totali, g,"2,85",acidi grassi
54,Acido miristoleico, g,"0,00",acidi grassi
55,Acido palmitoleico, g,"0,30",acidi grassi
56,Acido oleico, g,"2,55",acidi grassi
57,Acidi eicosenoico, g,"0,00",acidi grassi
58,Acido erucico, g,"0,00",acidi grassi
59,Acidi grassi polinsaturi totali, g,"4,42",acidi grassi
60,Acido linoleico, g,"1,34",acidi grassi
61,Acido linolenico, g,"0,23",acidi grassi
62,Acido arachidonico, g,"0,00",acidi grassi
63,Acido eicosapentaenoico (EPA), g,"0,00",acidi grassi
64,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
65,Altri acidi grassi polinsaturi, g,"2,85",acidi grassi
66,Triptofano, mg,176,aminoacidi
67,Treonina, mg,787,aminoacidi
68,Isoleucina, mg,923,aminoacidi
69,Leucina, mg,1517,aminoacidi
70,Lisina, mg,1592,aminoacidi
71,Metionina, mg,495,aminoacidi
72,Cistina, mg,205,aminoacidi
73,Fenilalanina, mg,763,aminoacidi
74,Tirosina, mg,615,aminoacidi
75,Valina, mg,1090,aminoacidi
76,Arginina, mg,1171,aminoacidi
77,Istidina, mg,509,aminoacidi
78,Alanina, mg,1130,aminoacidi
79,Acido aspartico, mg,1791,aminoacidi
80,Acido glutammico, mg,2853,aminoacidi
81,Glicina, mg,912,aminoacidi
82,Prolina, mg,779,aminoacidi
83,Serina, mg,736,aminoacidi
84,Glucosio, g,"0,4",zuccheri
85,Fruttosio, g,"0,0",zuccheri
86,Galattosio, g,"0,0",zuccheri
87,Saccarosio (MSE), g,"0,0",zuccheri
88,Maltosio (MSE), g,"0,0",zuccheri
89,Lattosio (MSE), g,"0,0",zuccheri
