,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1422,componenti principali
2,"Energia,  Ric con fibra", kJ,1444,componenti principali
3,"Energia,  ricalcolata", kcal,336,componenti principali
4,"Energia,  Ric con fibra", kcal,342,componenti principali
5,Proteine totali, g,"6,5",componenti principali
6,   Proteine animali, g,"3,6",componenti principali
7,   Proteine vegetali, g,"2,9",componenti principali
8,Lipidi totali, g,"9,5",componenti principali
9,   Lipidi animali, g,"6,8",componenti principali
10,   Lipidi vegetali, g,"2,7",componenti principali
11,Colesterolo, mg,46,componenti principali
12,Carboidrati disponibili (MSE), g,"60,0",componenti principali
13,   Amido (MSE), g,"26,0",componenti principali
14,   Carboidrati solubili (MSE), g,"34,0",componenti principali
15,Fibra alimentare totale, g,"2,8",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"23,0",componenti principali
18,Ferro, mg,"2,2",minerali ed elementi in traccia
19,Calcio, mg,43,minerali ed elementi in traccia
20,Sodio, mg,157,minerali ed elementi in traccia
21,Potassio, mg,200,minerali ed elementi in traccia
22,Fosforo, mg,122,minerali ed elementi in traccia
23,Zinco, mg,"0,70",minerali ed elementi in traccia
24,"Vitamina B1,  Tiamina", mg,"0,03",vitamine idrosolubili
25,"Vitamina B2,  Riboflavina", mg,"0,13",vitamine idrosolubili
26,Vitamina C, mg,tr,vitamine idrosolubili
27,Niacina, mg,"0,60",vitamine idrosolubili
28,Vitamina B6, mg,"0,03",vitamine idrosolubili
29,Folati totali, µg,8,vitamine idrosolubili
30,   Retinolo eq. (RE), µg,28,retinolo equivalente
31,   Retinolo, µg,26,retinolo equivalente
32,   ß-carotene eq., µg,11,retinolo equivalente
33,Vitamina E (ATE), mg,"1,41",retinolo equivalente
34,Vitamina D, µg,"0,25",retinolo equivalente
35,Acidi grassi saturi totali, g,"3,78",acidi grassi
36,Acidi grassi monoinsaturi totali, g,"3,73",acidi grassi
37,Acido oleico, g,"3,35",acidi grassi
38,Acidi grassi polinsaturi totali, g,"1,44",acidi grassi
39,Acido linoleico, g,"1,33",acidi grassi
40,Acido linolenico, g,"0,10",acidi grassi
41,Altri acidi grassi polinsaturi, g,"0,01",acidi grassi
