,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,783,componenti principali
2,"Energia,  Ric con fibra", kJ,794,componenti principali
3,"Energia,  ricalcolata", kcal,187,componenti principali
4,"Energia,  Ric con fibra", kcal,190,componenti principali
5,Proteine totali, g,"5,9",componenti principali
6,   Proteine animali, g,"4,2",componenti principali
7,   Proteine vegetali, g,"1,7",componenti principali
8,Lipidi totali, g,"11,5",componenti principali
9,   Lipidi animali, g,"4,5",componenti principali
10,   Lipidi vegetali, g,"7,0",componenti principali
11,Colesterolo, mg,34,componenti principali
12,Carboidrati disponibili (MSE), g,"16,1",componenti principali
13,   Amido (MSE), g,"15,1",componenti principali
14,   Carboidrati solubili (MSE), g,"1,0",componenti principali
15,Fibra alimentare totale, g,"1,3",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"65,2",componenti principali
18,Ferro, mg,"0,8",minerali ed elementi in traccia
19,Calcio, mg,79,minerali ed elementi in traccia
20,Sodio, mg,430,minerali ed elementi in traccia
21,Potassio, mg,121,minerali ed elementi in traccia
22,Fosforo, mg,100,minerali ed elementi in traccia
23,Zinco, mg,"1,30",minerali ed elementi in traccia
24,"Vitamina B1,  Tiamina", mg,"0,05",vitamine idrosolubili
25,"Vitamina B2,  Riboflavina", mg,"0,09",vitamine idrosolubili
26,Vitamina C, mg,2,vitamine idrosolubili
27,Niacina, mg,"0,80",vitamine idrosolubili
28,Vitamina B6, mg,"0,07",vitamine idrosolubili
29,Folati totali, µg,10,vitamine idrosolubili
30,   Retinolo eq. (RE), µg,23,retinolo equivalente
31,   Retinolo, µg,18,retinolo equivalente
32,   ß-carotene eq., µg,34,retinolo equivalente
33,Vitamina E (ATE), mg,"2,85",retinolo equivalente
34,Vitamina D, µg,"0,11",retinolo equivalente
35,Acidi grassi saturi totali, g,"2,75",acidi grassi
36,Acidi grassi monoinsaturi totali, g,"4,62",acidi grassi
37,Acido oleico, g,"4,41",acidi grassi
38,Acidi grassi polinsaturi totali, g,"3,46",acidi grassi
39,Acido linoleico, g,"3,26",acidi grassi
40,Acido linolenico, g,"0,09",acidi grassi
41,Altri acidi grassi polinsaturi, g,"0,11",acidi grassi
