,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,0,componenti principali
2,"Energia,  Ric con fibra", kJ,0,componenti principali
3,"Energia,  ricalcolata", kcal,0,componenti principali
4,"Energia,  Ric con fibra", kcal,0,componenti principali
5,Proteine totali, g,"0,0",componenti principali
6,   Proteine animali, g,"0,0",componenti principali
7,   Proteine vegetali, g,"0,0",componenti principali
8,Lipidi totali, g,"0,0",componenti principali
9,   Lipidi animali, g,"0,0",componenti principali
10,   Lipidi vegetali, g,"0,0",componenti principali
11,Colesterolo, mg,0,componenti principali
12,Carboidrati disponibili (MSE), g,"0,0",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"0,0",componenti principali
15,Fibra alimentare totale, g,"0,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,"Vitamina B1,  Tiamina", mg,"0,00",vitamine idrosolubili
18,"Vitamina B2,  Riboflavina", mg,"0,00",vitamine idrosolubili
19,Vitamina C, mg,0,vitamine idrosolubili
20,Niacina, mg,"0,00",vitamine idrosolubili
21,Vitamina B6, mg,"0,00",vitamine idrosolubili
22,Folati totali, µg,0,vitamine idrosolubili
23,   Retinolo eq. (RE), µg,0,retinolo equivalente
24,   Retinolo, µg,0,retinolo equivalente
25,   ß-carotene eq., µg,0,retinolo equivalente
26,Vitamina E (ATE), mg,"0,00",retinolo equivalente
27,Vitamina D, µg,"0,00",retinolo equivalente
28,Acidi grassi saturi totali, g,"0,00",acidi grassi
29,Acidi grassi monoinsaturi totali, g,"0,00",acidi grassi
30,Acido oleico, g,"0,00",acidi grassi
31,Acidi grassi polinsaturi totali, g,"0,00",acidi grassi
32,Acido linoleico, g,"0,00",acidi grassi
33,Acido linolenico, g,"0,00",acidi grassi
34,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
