,components,unit,value,section
0,Parte edibile, %,70,componenti principali
1,"Energia,  ricalcolata", kJ,985,componenti principali
2,"Energia,  Ric con fibra", kJ,985,componenti principali
3,"Energia,  ricalcolata", kcal,237,componenti principali
4,"Energia,  Ric con fibra", kcal,237,componenti principali
5,Proteine totali, g,"14,6",componenti principali
6,   Proteine animali, g,"14,6",componenti principali
7,   Proteine vegetali, g,"0,0",componenti principali
8,Lipidi totali, g,"19,6",componenti principali
9,   Lipidi animali, g,"19,6",componenti principali
10,   Lipidi vegetali, g,"0,0",componenti principali
11,Colesterolo, mg,88,componenti principali
12,Carboidrati disponibili (MSE), g,"0,7",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"0,7",componenti principali
15,Fibra alimentare totale, g,"0,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"62,8",componenti principali
18,Ferro, mg,"0,6",minerali ed elementi in traccia
19,Calcio, mg,17,minerali ed elementi in traccia
20,Sodio, mg,87,minerali ed elementi in traccia
21,Potassio, mg,270,minerali ed elementi in traccia
22,Fosforo, mg,223,minerali ed elementi in traccia
23,Zinco, mg,"2,50",minerali ed elementi in traccia
24,Magnesio, mg,27,minerali ed elementi in traccia
25,Rame, mg,"0,07",minerali ed elementi in traccia
26,Selenio, µg,"18,0",minerali ed elementi in traccia
27,Cloro, mg,57,minerali ed elementi in traccia
28,Iodio, µg,80,minerali ed elementi in traccia
29,Manganese, mg,"0,17",minerali ed elementi in traccia
30,"Vitamina B1,  Tiamina", mg,"0,18",vitamine idrosolubili
31,"Vitamina B2,  Riboflavina", mg,"0,32",vitamine idrosolubili
32,Vitamina C, mg,2,vitamine idrosolubili
33,Niacina, mg,"2,60",vitamine idrosolubili
34,Vitamina B6, mg,"0,25",vitamine idrosolubili
35,Folati totali, µg,12,vitamine idrosolubili
36,Acido pantotenico, mg,"0,14",vitamine idrosolubili
37,Vitamina B12, µg,"1,0",vitamine idrosolubili
38,   Retinolo eq. (RE), µg,980,retinolo equivalente
39,   Retinolo, µg,980,retinolo equivalente
40,   ß-carotene eq., µg,tr,retinolo equivalente
41,Vitamina E (ATE), mg,"4,14",retinolo equivalente
42,Vitamina D, µg,"4,90",retinolo equivalente
43,Acidi grassi saturi totali, g,"5,27",acidi grassi
44,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"0,00",acidi grassi
45,Acido laurico, g,"0,00",acidi grassi
46,Acido miristico, g,"0,57",acidi grassi
47,Acido palmitico, g,"3,43",acidi grassi
48,Acido stearico, g,"0,85",acidi grassi
49,Acido arachidico, g,"0,00",acidi grassi
50,Acido beenico, g,"0,00",acidi grassi
51,Acidi grassi monoinsaturi totali, g,"8,58",acidi grassi
52,Acido miristoleico, g,"0,00",acidi grassi
53,Acido palmitoleico, g,"1,72",acidi grassi
54,Acido oleico, g,"6,57",acidi grassi
55,Acidi eicosenoico, g,"0,24",acidi grassi
56,Acido erucico, g,"0,05",acidi grassi
57,Acidi grassi polinsaturi totali, g,"4,56",acidi grassi
58,Acido linoleico, g,"0,43",acidi grassi
59,Acido linolenico, g,"0,21",acidi grassi
60,Acido arachidonico, g,"0,47",acidi grassi
61,Acido eicosapentaenoico (EPA), g,"0,00",acidi grassi
62,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
63,Altri acidi grassi polinsaturi, g,"3,45",acidi grassi
64,Triptofano, mg,164,aminoacidi
65,Treonina, mg,641,aminoacidi
66,Isoleucina, mg,673,aminoacidi
67,Leucina, mg,1187,aminoacidi
68,Lisina, mg,1341,aminoacidi
69,Metionina, mg,432,aminoacidi
70,Cistina, mg,157,aminoacidi
71,Fenilalanina, mg,570,aminoacidi
72,Tirosina, mg,493,aminoacidi
73,Valina, mg,752,aminoacidi
74,Arginina, mg,874,aminoacidi
75,Istidina, mg,430,aminoacidi
76,Alanina, mg,883,aminoacidi
77,Acido aspartico, mg,1496,aminoacidi
78,Acido glutammico, mg,2180,aminoacidi
79,Glicina, mg,701,aminoacidi
80,Prolina, mg,516,aminoacidi
81,Serina, mg,596,aminoacidi
82,Glucosio, g,"0,7",zuccheri
83,Fruttosio, g,"0,0",zuccheri
84,Galattosio, g,"0,0",zuccheri
85,Saccarosio (MSE), g,"0,0",zuccheri
86,Maltosio (MSE), g,"0,0",zuccheri
87,Lattosio (MSE), g,"0,0",zuccheri
