,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,895,componenti principali
2,"Energia,  Ric con fibra", kJ,895,componenti principali
3,"Energia,  ricalcolata", kcal,215,componenti principali
4,"Energia,  Ric con fibra", kcal,215,componenti principali
5,Proteine totali, g,"19,8",componenti principali
6,   Proteine animali, g,"19,8",componenti principali
7,   Proteine vegetali, g,"0,0",componenti principali
8,Lipidi totali, g,"14,7",componenti principali
9,   Lipidi animali, g,"14,7",componenti principali
10,   Lipidi vegetali, g,"0,0",componenti principali
11,Colesterolo, mg,62,componenti principali
12,Carboidrati disponibili (MSE), g,"0,9",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"0,9",componenti principali
15,Fibra alimentare totale, g,"0,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"62,2",componenti principali
18,Ferro, mg,"0,7",minerali ed elementi in traccia
19,Calcio, mg,6,minerali ed elementi in traccia
20,Sodio, mg,648,minerali ed elementi in traccia
21,Potassio, mg,227,minerali ed elementi in traccia
22,Fosforo, mg,250,minerali ed elementi in traccia
23,Zinco, mg,"2,60",minerali ed elementi in traccia
24,Magnesio, mg,16,minerali ed elementi in traccia
25,Rame, mg,"0,07",minerali ed elementi in traccia
26,Selenio, µg,"5,6",minerali ed elementi in traccia
27,Cloro, mg,1470,minerali ed elementi in traccia
28,Iodio, µg,5,minerali ed elementi in traccia
29,Manganese, mg,"0,01",minerali ed elementi in traccia
30,Zolfo, mg,180,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,"0,40",vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,15",vitamine idrosolubili
33,Vitamina C, mg,tr,vitamine idrosolubili
34,Niacina, mg,"3,20",vitamine idrosolubili
35,Vitamina B6, mg,"0,61",vitamine idrosolubili
36,Folati totali, µg,19,vitamine idrosolubili
37,Acido pantotenico, mg,"1,03",vitamine idrosolubili
38,Biotina, µg,"3,0",vitamine idrosolubili
39,Vitamina B12, µg,"1,0",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,0,retinolo equivalente
41,   Retinolo, µg,0,retinolo equivalente
42,   ß-carotene eq., µg,0,retinolo equivalente
43,Vitamina E (ATE), mg,"0,04",retinolo equivalente
44,Vitamina D, µg,"0,80",retinolo equivalente
45,Acidi grassi saturi totali, g,"5,10",acidi grassi
46,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"0,00",acidi grassi
47,Acido laurico, g,"0,00",acidi grassi
48,Acido miristico, g,"0,15",acidi grassi
49,Acido palmitico, g,"2,43",acidi grassi
50,Acido stearico, g,"1,54",acidi grassi
51,Acido arachidico, g,"0,04",acidi grassi
52,Acido beenico, g,"0,00",acidi grassi
53,Acidi grassi monoinsaturi totali, g,"6,05",acidi grassi
54,Acido miristoleico, g,"0,00",acidi grassi
55,Acido palmitoleico, g,"0,33",acidi grassi
56,Acido oleico, g,"5,16",acidi grassi
57,Acidi eicosenoico, g,"0,35",acidi grassi
58,Acido erucico, g,"0,00",acidi grassi
59,Acidi grassi polinsaturi totali, g,"2,45",acidi grassi
60,Acido linoleico, g,"1,89",acidi grassi
61,Acido linolenico, g,"0,16",acidi grassi
62,Acido arachidonico, g,"0,35",acidi grassi
63,Acido eicosapentaenoico (EPA), g,"0,04",acidi grassi
64,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
65,Altri acidi grassi polinsaturi, g,"0,01",acidi grassi
66,Triptofano, mg,208,aminoacidi
67,Treonina, mg,829,aminoacidi
68,Isoleucina, mg,976,aminoacidi
69,Leucina, mg,1695,aminoacidi
70,Lisina, mg,1739,aminoacidi
71,Metionina, mg,520,aminoacidi
72,Cistina, mg,230,aminoacidi
73,Fenilalanina, mg,805,aminoacidi
74,Tirosina, mg,698,aminoacidi
75,Valina, mg,1186,aminoacidi
76,Arginina, mg,1265,aminoacidi
77,Istidina, mg,720,aminoacidi
78,Alanina, mg,1174,aminoacidi
79,Acido aspartico, mg,1973,aminoacidi
80,Acido glutammico, mg,3068,aminoacidi
81,Glicina, mg,942,aminoacidi
82,Prolina, mg,821,aminoacidi
83,Serina, mg,821,aminoacidi
84,Glucosio, g,"0,3",zuccheri
85,Fruttosio, g,"0,2",zuccheri
86,Galattosio, g,"0,0",zuccheri
87,Saccarosio (MSE), g,"0,3",zuccheri
88,Maltosio (MSE), g,"0,0",zuccheri
89,Lattosio (MSE), g,"0,2",zuccheri
