,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,123,componenti principali
2,"Energia,  Ric con fibra", kJ,208,componenti principali
3,"Energia,  ricalcolata", kcal,29,componenti principali
4,"Energia,  Ric con fibra", kcal,50,componenti principali
5,Proteine totali, g,"1,5",componenti principali
6,   Proteine animali, g,"0,0",componenti principali
7,   Proteine vegetali, g,"1,5",componenti principali
8,Lipidi totali, g,"0,3",componenti principali
9,   Lipidi animali, g,"0,0",componenti principali
10,   Lipidi vegetali, g,"0,3",componenti principali
11,Colesterolo, mg,0,componenti principali
12,Carboidrati disponibili (MSE), g,"5,4",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"4,2",componenti principali
15,Fibra alimentare totale, g,"10,6",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"81,6",componenti principali
18,Ferro, mg,"0,8",minerali ed elementi in traccia
19,Calcio, mg,134,minerali ed elementi in traccia
20,Sodio, mg,6,minerali ed elementi in traccia
21,Potassio, mg,160,minerali ed elementi in traccia
22,Fosforo, mg,12,minerali ed elementi in traccia
23,Zinco, mg,"0,25",minerali ed elementi in traccia
24,Magnesio, mg,15,minerali ed elementi in traccia
25,Rame, mg,"0,09",minerali ed elementi in traccia
26,Selenio, µg,"0,7",minerali ed elementi in traccia
27,Cloro, mg,5,minerali ed elementi in traccia
28,Iodio, µg,0,minerali ed elementi in traccia
29,Manganese, mg,"0,03",minerali ed elementi in traccia
30,Zolfo, mg,12,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,"0,06",vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,08",vitamine idrosolubili
33,Vitamina C, mg,129,vitamine idrosolubili
34,Niacina, mg,"0,40",vitamine idrosolubili
35,Vitamina B6, mg,"0,17",vitamine idrosolubili
36,Folati totali, µg,13,vitamine idrosolubili
37,Acido pantotenico, mg,"0,32",vitamine idrosolubili
38,Biotina, µg,"0,5",vitamine idrosolubili
39,Vitamina B12, µg,"0,0",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,5,retinolo equivalente
41,   Retinolo, µg,0,retinolo equivalente
42,   ß-carotene eq., µg,30,retinolo equivalente
43,Vitamina E (ATE), mg,"0,25",retinolo equivalente
44,Vitamina D, µg,"0,00",retinolo equivalente
45,Vitamina K, µg,"0,00",retinolo equivalente
46,Acidi grassi saturi totali, g,"0,04",acidi grassi
47,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"0,00",acidi grassi
48,Acido laurico, g,"0,00",acidi grassi
49,Acido miristico, g,"0,00",acidi grassi
50,Acido palmitico, g,"0,04",acidi grassi
51,Acido stearico, g,"0,00",acidi grassi
52,Acidi grassi monoinsaturi totali, g,"0,01",acidi grassi
53,Acido miristoleico, g,"0,00",acidi grassi
54,Acido palmitoleico, g,"0,00",acidi grassi
55,Acido oleico, g,"0,01",acidi grassi
56,Acidi eicosenoico, g,"0,00",acidi grassi
57,Acido erucico, g,"0,00",acidi grassi
58,Acidi grassi polinsaturi totali, g,"0,09",acidi grassi
59,Acido linoleico, g,"0,06",acidi grassi
60,Acido linolenico, g,"0,03",acidi grassi
61,Acido arachidonico, g,"0,00",acidi grassi
62,Acido eicosapentaenoico (EPA), g,"0,00",acidi grassi
63,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
64,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
65,Triptofano, mg,9,aminoacidi
66,Treonina, mg,21,aminoacidi
67,Isoleucina, mg,41,aminoacidi
68,Leucina, mg,38,aminoacidi
69,Lisina, mg,75,aminoacidi
70,Metionina, mg,21,aminoacidi
71,Cistina, mg,19,aminoacidi
72,Fenilalanina, mg,53,aminoacidi
73,Tirosina, mg,30,aminoacidi
74,Valina, mg,54,aminoacidi
75,Arginina, mg,90,aminoacidi
76,Istidina, mg,21,aminoacidi
77,Alanina, mg,88,aminoacidi
78,Acido aspartico, mg,206,aminoacidi
79,Acido glutammico, mg,171,aminoacidi
80,Glicina, mg,144,aminoacidi
81,Prolina, mg,79,aminoacidi
82,Serina, mg,41,aminoacidi
83,Glucosio, g,"1,8",zuccheri
84,Fruttosio, g,"1,8",zuccheri
85,Galattosio, g,"0,0",zuccheri
86,Saccarosio (MSE), g,"0,5",zuccheri
87,Maltosio (MSE), g,"0,0",zuccheri
88,Lattosio (MSE), g,"0,0",zuccheri
