,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1523,componenti principali
2,"Energia,  Ric con fibra", kJ,1551,componenti principali
3,"Energia,  ricalcolata", kcal,357,componenti principali
4,"Energia,  Ric con fibra", kcal,364,componenti principali
5,Proteine totali, g,"4,8",componenti principali
6,   Proteine animali, g,"0,0",componenti principali
7,   Proteine vegetali, g,"4,8",componenti principali
8,Lipidi totali, g,"0,9",componenti principali
9,   Lipidi animali, g,"0,0",componenti principali
10,   Lipidi vegetali, g,"0,9",componenti principali
11,Colesterolo, mg,0,componenti principali
12,Carboidrati disponibili (MSE), g,"88,0",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"88,0",componenti principali
15,Fibra alimentare totale, g,"3,5",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"3,0",componenti principali
18,Ferro, mg,"3,5",minerali ed elementi in traccia
19,Calcio, mg,62,minerali ed elementi in traccia
20,Sodio, mg,21,minerali ed elementi in traccia
21,Potassio, mg,1229,minerali ed elementi in traccia
22,Fosforo, mg,151,minerali ed elementi in traccia
23,Zinco, mg,"0,78",minerali ed elementi in traccia
24,Magnesio, mg,57,minerali ed elementi in traccia
25,Rame, mg,"0,49",minerali ed elementi in traccia
26,Selenio, µg,"8,0",minerali ed elementi in traccia
27,Cloro, mg,11,minerali ed elementi in traccia
28,Iodio, µg,23,minerali ed elementi in traccia
29,Manganese, mg,"0,80",minerali ed elementi in traccia
30,Zolfo, mg,240,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,tr,vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,10",vitamine idrosolubili
33,Vitamina C, mg,14,vitamine idrosolubili
34,Niacina, mg,"7,80",vitamine idrosolubili
35,Vitamina B6, mg,"0,16",vitamine idrosolubili
36,Folati totali, µg,7,vitamine idrosolubili
37,Acido pantotenico, mg,"0,52",vitamine idrosolubili
38,Biotina, µg,"0,2",vitamine idrosolubili
39,Vitamina B12, µg,"0,0",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,500,retinolo equivalente
41,   Retinolo, µg,0,retinolo equivalente
42,   ß-carotene eq., µg,3000,retinolo equivalente
43,Vitamina E (ATE), mg,"0,19",retinolo equivalente
44,Vitamina D, µg,"0,00",retinolo equivalente
45,Vitamina K, µg,"15,70",retinolo equivalente
46,Acidi grassi saturi totali, g,"0,10",acidi grassi
47,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"0,00",acidi grassi
48,Acido laurico, g,"0,00",acidi grassi
49,Acido miristico, g,"0,00",acidi grassi
50,Acido palmitico, g,"0,08",acidi grassi
51,Acido stearico, g,"0,01",acidi grassi
52,Acidi grassi monoinsaturi totali, g,"0,33",acidi grassi
53,Acido miristoleico, g,"0,00",acidi grassi
54,Acido palmitoleico, g,"0,01",acidi grassi
55,Acido oleico, g,"0,32",acidi grassi
56,Acidi eicosenoico, g,"0,00",acidi grassi
57,Acido erucico, g,"0,00",acidi grassi
58,Acidi grassi polinsaturi totali, g,"0,44",acidi grassi
59,Acido linoleico, g,"0,42",acidi grassi
60,Acido linolenico, g,"0,01",acidi grassi
61,Acido arachidonico, g,"0,00",acidi grassi
62,Acido eicosapentaenoico (EPA), g,"0,00",acidi grassi
63,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
64,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
65,Triptofano, mg,14,aminoacidi
66,Treonina, mg,188,aminoacidi
67,Isoleucina, mg,138,aminoacidi
68,Leucina, mg,272,aminoacidi
69,Lisina, mg,154,aminoacidi
70,Metionina, mg,116,aminoacidi
71,Cistina, mg,39,aminoacidi
72,Fenilalanina, mg,151,aminoacidi
73,Tirosina, mg,126,aminoacidi
74,Valina, mg,262,aminoacidi
75,Arginina, mg,122,aminoacidi
76,Istidina, mg,89,aminoacidi
77,Alanina, mg,287,aminoacidi
78,Acido aspartico, mg,802,aminoacidi
79,Acido glutammico, mg,729,aminoacidi
80,Glicina, mg,168,aminoacidi
81,Prolina, mg,202,aminoacidi
82,Serina, mg,222,aminoacidi
83,Glucosio, g,"13,1",zuccheri
84,Fruttosio, g,"13,1",zuccheri
85,Galattosio, g,"0,0",zuccheri
86,Saccarosio (MSE), g,"61,6",zuccheri
87,Maltosio (MSE), g,"0,0",zuccheri
88,Lattosio (MSE), g,"0,0",zuccheri
