,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,327,componenti principali
2,"Energia,  Ric con fibra", kJ,336,componenti principali
3,"Energia,  ricalcolata", kcal,78,componenti principali
4,"Energia,  Ric con fibra", kcal,81,componenti principali
5,Proteine totali, g,"8,1",componenti principali
6,   Proteine animali, g,"0,0",componenti principali
7,   Proteine vegetali, g,"8,1",componenti principali
8,Lipidi totali, g,"4,8",componenti principali
9,   Lipidi animali, g,"0,0",componenti principali
10,   Lipidi vegetali, g,"4,8",componenti principali
11,Colesterolo, mg,0,componenti principali
12,Carboidrati disponibili (MSE), g,"0,7",componenti principali
13,Fibra alimentare totale, g,"1,2",componenti principali
14,Alcol, g,"0,0",componenti principali
15,Acqua, g,"84,6",componenti principali
16,Ferro, mg,"5,4",minerali ed elementi in traccia
17,Calcio, mg,105,minerali ed elementi in traccia
18,Sodio, mg,7,minerali ed elementi in traccia
19,Potassio, mg,121,minerali ed elementi in traccia
20,Fosforo, mg,97,minerali ed elementi in traccia
21,Zinco, mg,"0,80",minerali ed elementi in traccia
22,"Vitamina B1,  Tiamina", mg,"0,08",vitamine idrosolubili
23,"Vitamina B2,  Riboflavina", mg,"0,05",vitamine idrosolubili
24,Vitamina C, mg,0,vitamine idrosolubili
25,Niacina, mg,"1,20",vitamine idrosolubili
26,Vitamina B6, mg,"0,05",vitamine idrosolubili
27,Folati totali, µg,15,vitamine idrosolubili
28,   Retinolo eq. (RE), µg,9,retinolo equivalente
29,   Retinolo, µg,0,retinolo equivalente
30,   ß-carotene eq., µg,54,retinolo equivalente
31,Vitamina E (ATE), mg,"0,01",retinolo equivalente
32,Vitamina D, µg,"0,00",retinolo equivalente
33,Acidi grassi saturi totali, g,"0,07",acidi grassi
34,Acidi grassi monoinsaturi totali, g,"1,06",acidi grassi
35,Acido oleico, g,"1,04",acidi grassi
36,Acidi grassi polinsaturi totali, g,"2,70",acidi grassi
37,Acido linoleico, g,"2,38",acidi grassi
38,Acido linolenico, g,"0,32",acidi grassi
39,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
