,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1686,componenti principali
2,"Energia,  Ric con fibra", kJ,1698,componenti principali
3,"Energia,  ricalcolata", kcal,406,componenti principali
4,"Energia,  Ric con fibra", kcal,409,componenti principali
5,Proteine totali, g,"12,8",componenti principali
6,   Proteine animali, g,"0,0",componenti principali
7,   Proteine vegetali, g,"12,8",componenti principali
8,Lipidi totali, g,"32,6",componenti principali
9,   Lipidi animali, g,"0,0",componenti principali
10,   Lipidi vegetali, g,"32,6",componenti principali
11,Colesterolo, mg,0,componenti principali
12,Carboidrati disponibili (MSE), g,"16,4",componenti principali
13,   Amido (MSE), g,"7,3",componenti principali
14,   Carboidrati solubili (MSE), g,"9,1",componenti principali
15,Fibra alimentare totale, g,"1,5",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"35,2",componenti principali
18,Ferro, mg,"2,8",minerali ed elementi in traccia
19,Calcio, mg,65,minerali ed elementi in traccia
20,Sodio, mg,9,minerali ed elementi in traccia
21,Potassio, mg,501,minerali ed elementi in traccia
22,Fosforo, mg,164,minerali ed elementi in traccia
23,Zinco, mg,"2,37",minerali ed elementi in traccia
24,Magnesio, mg,158,minerali ed elementi in traccia
25,Rame, mg,"0,75",minerali ed elementi in traccia
26,Selenio, µg,"8,0",minerali ed elementi in traccia
27,Cloro, mg,7,minerali ed elementi in traccia
28,Iodio, µg,6,minerali ed elementi in traccia
29,Manganese, mg,"1,20",minerali ed elementi in traccia
30,Zolfo, mg,160,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,"0,50",vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,30",vitamine idrosolubili
33,Vitamina C, mg,1,vitamine idrosolubili
34,Niacina, mg,"1,00",vitamine idrosolubili
35,Vitamina B6, mg,"1,70",vitamine idrosolubili
36,Folati totali, µg,51,vitamine idrosolubili
37,Acido pantotenico, mg,"0,52",vitamine idrosolubili
38,Biotina, µg,"30,0",vitamine idrosolubili
39,Vitamina B12, µg,"0,0",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,87,retinolo equivalente
41,   Retinolo, µg,0,retinolo equivalente
42,   ß-carotene eq., µg,522,retinolo equivalente
43,Vitamina E (ATE), mg,"4,57",retinolo equivalente
44,Vitamina D, µg,"0,00",retinolo equivalente
45,Vitamina K, µg,"60,00",retinolo equivalente
46,Acidi grassi saturi totali, g,"3,26",acidi grassi
47,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"0,00",acidi grassi
48,Acido laurico, g,"0,00",acidi grassi
49,Acido miristico, g,"0,00",acidi grassi
50,Acido palmitico, g,"2,61",acidi grassi
51,Acido stearico, g,"0,65",acidi grassi
52,Acido arachidico, g,"0,00",acidi grassi
53,Acido beenico, g,"0,00",acidi grassi
54,Acidi grassi monoinsaturi totali, g,"21,19",acidi grassi
55,Acido miristoleico, g,"0,00",acidi grassi
56,Acido palmitoleico, g,"0,00",acidi grassi
57,Acido oleico, g,"21,19",acidi grassi
58,Acidi eicosenoico, g,"0,00",acidi grassi
59,Acido erucico, g,"0,00",acidi grassi
60,Acidi grassi polinsaturi totali, g,"6,20",acidi grassi
61,Acido linoleico, g,"6,20",acidi grassi
62,Acido linolenico, g,"0,00",acidi grassi
63,Acido arachidonico, g,"0,00",acidi grassi
64,Acido eicosapentaenoico (EPA), g,"0,00",acidi grassi
65,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
66,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
67,Triptofano, mg,103,aminoacidi
68,Treonina, mg,467,aminoacidi
69,Isoleucina, mg,553,aminoacidi
70,Leucina, mg,897,aminoacidi
71,Lisina, mg,400,aminoacidi
72,Metionina, mg,147,aminoacidi
73,Cistina, mg,231,aminoacidi
74,Fenilalanina, mg,694,aminoacidi
75,Tirosina, mg,453,aminoacidi
76,Valina, mg,660,aminoacidi
77,Arginina, mg,1602,aminoacidi
78,Istidina, mg,308,aminoacidi
79,Alanina, mg,605,aminoacidi
80,Acido aspartico, mg,1409,aminoacidi
81,Acido glutammico, mg,3059,aminoacidi
82,Glicina, mg,748,aminoacidi
83,Prolina, mg,512,aminoacidi
84,Serina, mg,579,aminoacidi
85,Glucosio, g,"0,4",zuccheri
86,Fruttosio, g,"0,3",zuccheri
87,Galattosio, g,"0,0",zuccheri
88,Saccarosio (MSE), g,"8,2",zuccheri
89,Maltosio (MSE), g,"0,2",zuccheri
90,Lattosio (MSE), g,"0,0",zuccheri
