,components,unit,value,section
0,Parte edibile, %,84,componenti principali
1,"Energia,  ricalcolata", kJ,150,componenti principali
2,"Energia,  Ric con fibra", kJ,180,componenti principali
3,"Energia,  ricalcolata", kcal,35,componenti principali
4,"Energia,  Ric con fibra", kcal,43,componenti principali
5,Proteine totali, g,"0,3",componenti principali
6,   Proteine animali, g,"0,0",componenti principali
7,   Proteine vegetali, g,"0,3",componenti principali
8,Lipidi totali, g,"0,1",componenti principali
9,   Lipidi animali, g,"0,0",componenti principali
10,   Lipidi vegetali, g,"0,1",componenti principali
11,Colesterolo, mg,0,componenti principali
12,Carboidrati disponibili (MSE), g,"8,8",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"8,8",componenti principali
15,Fibra alimentare totale, g,"3,8",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"87,4",componenti principali
18,Ferro, mg,"0,3",minerali ed elementi in traccia
19,Calcio, mg,11,minerali ed elementi in traccia
20,Sodio, mg,2,minerali ed elementi in traccia
21,Potassio, mg,127,minerali ed elementi in traccia
22,Fosforo, mg,15,minerali ed elementi in traccia
23,Zinco, mg,"0,05",minerali ed elementi in traccia
24,Magnesio, mg,7,minerali ed elementi in traccia
25,Rame, mg,"0,05",minerali ed elementi in traccia
26,Selenio, µg,tr,minerali ed elementi in traccia
27,Cloro, mg,1,minerali ed elementi in traccia
28,Iodio, µg,1,minerali ed elementi in traccia
29,Manganese, mg,tr,minerali ed elementi in traccia
30,Zolfo, mg,5,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,"0,01",vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,03",vitamine idrosolubili
33,Vitamina C, mg,4,vitamine idrosolubili
34,Niacina, mg,"0,10",vitamine idrosolubili
35,Vitamina B6, mg,"0,02",vitamine idrosolubili
36,Folati totali, µg,2,vitamine idrosolubili
37,Acido pantotenico, mg,"0,07",vitamine idrosolubili
38,Biotina, µg,"0,2",vitamine idrosolubili
39,Vitamina B12, µg,"0,0",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,tr,retinolo equivalente
41,   Retinolo, µg,0,retinolo equivalente
42,   ß-carotene eq., µg,tr,retinolo equivalente
43,Vitamina E (ATE), mg,tr,retinolo equivalente
44,Vitamina D, µg,"0,00",retinolo equivalente
45,Vitamina K, µg,"3,60",retinolo equivalente
46,Acidi grassi saturi totali, g,"0,02",acidi grassi
47,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"0,00",acidi grassi
48,Acido laurico, g,"0,00",acidi grassi
49,Acido miristico, g,"0,00",acidi grassi
50,Acido palmitico, g,"0,01",acidi grassi
51,Acido stearico, g,"0,00",acidi grassi
52,Acidi grassi monoinsaturi totali, g,"0,06",acidi grassi
53,Acido miristoleico, g,"0,00",acidi grassi
54,Acido palmitoleico, g,"0,00",acidi grassi
55,Acido oleico, g,"0,06",acidi grassi
56,Acidi eicosenoico, g,"0,00",acidi grassi
57,Acido erucico, g,"0,00",acidi grassi
58,Acidi grassi polinsaturi totali, g,"0,07",acidi grassi
59,Acido linoleico, g,"0,07",acidi grassi
60,Acido linolenico, g,"0,00",acidi grassi
61,Acido arachidonico, g,"0,00",acidi grassi
62,Acido eicosapentaenoico (EPA), g,"0,00",acidi grassi
63,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
64,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
65,Triptofano, mg,2,aminoacidi
66,Treonina, mg,9,aminoacidi
67,Isoleucina, mg,9,aminoacidi
68,Leucina, mg,16,aminoacidi
69,Lisina, mg,14,aminoacidi
70,Metionina, mg,2,aminoacidi
71,Cistina, mg,2,aminoacidi
72,Fenilalanina, mg,9,aminoacidi
73,Tirosina, mg,2,aminoacidi
74,Valina, mg,14,aminoacidi
75,Arginina, mg,8,aminoacidi
76,Istidina, mg,2,aminoacidi
77,Alanina, mg,12,aminoacidi
78,Acido aspartico, mg,88,aminoacidi
79,Acido glutammico, mg,25,aminoacidi
80,Glicina, mg,11,aminoacidi
81,Prolina, mg,18,aminoacidi
82,Serina, mg,13,aminoacidi
83,Glucosio, g,"2,0",zuccheri
84,Fruttosio, g,"6,3",zuccheri
85,Galattosio, g,"0,0",zuccheri
86,Saccarosio (MSE), g,"0,6",zuccheri
87,Maltosio (MSE), g,"0,0",zuccheri
88,Lattosio (MSE), g,"0,0",zuccheri
