,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1818,componenti principali
2,"Energia,  Ric con fibra", kJ,1882,componenti principali
3,"Energia,  ricalcolata", kcal,433,componenti principali
4,"Energia,  Ric con fibra", kcal,449,componenti principali
5,Proteine totali, g,"8,5",componenti principali
6,   Proteine animali, g,"3,1",componenti principali
7,   Proteine vegetali, g,"5,4",componenti principali
8,Lipidi totali, g,"19,5",componenti principali
9,   Lipidi animali, g,"13,4",componenti principali
10,   Lipidi vegetali, g,"6,1",componenti principali
11,Colesterolo, mg,9,componenti principali
12,Carboidrati disponibili (MSE), g,"59,5",componenti principali
13,   Amido (MSE), g,"42,5",componenti principali
14,   Carboidrati solubili (MSE), g,"17,0",componenti principali
15,Fibra alimentare totale, g,"8,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"3,0",componenti principali
18,Ferro, mg,"3,5",minerali ed elementi in traccia
19,Calcio, mg,110,minerali ed elementi in traccia
20,Sodio, mg,314,minerali ed elementi in traccia
21,Potassio, mg,390,minerali ed elementi in traccia
22,Fosforo, mg,340,minerali ed elementi in traccia
23,Zinco, mg,"2,80",minerali ed elementi in traccia
24,"Vitamina B1,  Tiamina", mg,"0,34",vitamine idrosolubili
25,"Vitamina B2,  Riboflavina", mg,"0,16",vitamine idrosolubili
26,Vitamina C, mg,1,vitamine idrosolubili
27,Niacina, mg,"4,90",vitamine idrosolubili
28,Vitamina B6, mg,"0,36",vitamine idrosolubili
29,Folati totali, µg,27,vitamine idrosolubili
30,   Retinolo eq. (RE), µg,79,retinolo equivalente
31,   Retinolo, µg,74,retinolo equivalente
32,   ß-carotene eq., µg,28,retinolo equivalente
33,Vitamina E (ATE), mg,"1,76",retinolo equivalente
34,Vitamina D, µg,"0,46",retinolo equivalente
35,Acidi grassi saturi totali, g,"5,96",acidi grassi
36,Acidi grassi monoinsaturi totali, g,"8,00",acidi grassi
37,Acido oleico, g,"7,55",acidi grassi
38,Acidi grassi polinsaturi totali, g,"4,26",acidi grassi
39,Acido linoleico, g,"4,01",acidi grassi
40,Acido linolenico, g,"0,23",acidi grassi
41,Altri acidi grassi polinsaturi, g,"0,02",acidi grassi
