,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,922,componenti principali
2,"Energia,  Ric con fibra", kJ,922,componenti principali
3,"Energia,  ricalcolata", kcal,222,componenti principali
4,"Energia,  Ric con fibra", kcal,222,componenti principali
5,Proteine totali, g,"14,3",componenti principali
6,   Proteine animali, g,"14,3",componenti principali
7,   Proteine vegetali, g,"0,0",componenti principali
8,Lipidi totali, g,"17,7",componenti principali
9,   Lipidi animali, g,"17,7",componenti principali
10,   Lipidi vegetali, g,"0,0",componenti principali
11,Colesterolo, mg,107,componenti principali
12,Carboidrati disponibili (MSE), g,"1,5",componenti principali
13,   Amido (MSE), g,"1,5",componenti principali
14,   Carboidrati solubili (MSE), g,"0,0",componenti principali
15,Fibra alimentare totale, g,"0,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"63,0",componenti principali
18,Ferro, mg,"1,8",minerali ed elementi in traccia
19,Calcio, mg,106,minerali ed elementi in traccia
20,Sodio, mg,1426,minerali ed elementi in traccia
21,Potassio, mg,179,minerali ed elementi in traccia
22,Fosforo, mg,134,minerali ed elementi in traccia
23,Zinco, mg,"3,10",minerali ed elementi in traccia
24,Magnesio, mg,14,minerali ed elementi in traccia
25,Rame, mg,"0,10",minerali ed elementi in traccia
26,Selenio, µg,"15,0",minerali ed elementi in traccia
27,Cloro, mg,1030,minerali ed elementi in traccia
28,Iodio, µg,5,minerali ed elementi in traccia
29,Manganese, mg,"0,02",minerali ed elementi in traccia
30,Zolfo, mg,86,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,"0,04",vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,18",vitamine idrosolubili
33,Vitamina C, mg,0,vitamine idrosolubili
34,Niacina, mg,"4,10",vitamine idrosolubili
35,Vitamina B6, mg,"0,23",vitamine idrosolubili
36,Folati totali, µg,8,vitamine idrosolubili
37,Acido pantotenico, mg,"0,72",vitamine idrosolubili
38,Biotina, µg,"2,0",vitamine idrosolubili
39,Vitamina B12, µg,"0,3",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,0,retinolo equivalente
41,   Retinolo, µg,0,retinolo equivalente
42,   ß-carotene eq., µg,0,retinolo equivalente
43,Vitamina E (ATE), mg,"0,62",retinolo equivalente
44,Vitamina D, µg,"0,20",retinolo equivalente
45,Acidi grassi saturi totali, g,"5,89",acidi grassi
46,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"0,00",acidi grassi
47,Acido laurico, g,"0,15",acidi grassi
48,Acido miristico, g,"0,30",acidi grassi
49,Acido palmitico, g,"3,62",acidi grassi
50,Acido stearico, g,"1,83",acidi grassi
51,Acidi grassi monoinsaturi totali, g,"5,58",acidi grassi
52,Acido palmitoleico, g,"0,28",acidi grassi
53,Acido oleico, g,"5,30",acidi grassi
54,Acidi eicosenoico, g,"0,00",acidi grassi
55,Acido erucico, g,"0,00",acidi grassi
56,Acidi grassi polinsaturi totali, g,"5,00",acidi grassi
57,Acido linoleico, g,"4,64",acidi grassi
58,Acido linolenico, g,"0,36",acidi grassi
59,Acido arachidonico, g,"0,00",acidi grassi
60,Acido eicosapentaenoico (EPA), g,"0,00",acidi grassi
61,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
62,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
63,Triptofano, mg,114,aminoacidi
64,Treonina, mg,684,aminoacidi
65,Isoleucina, mg,540,aminoacidi
66,Leucina, mg,1165,aminoacidi
67,Lisina, mg,1240,aminoacidi
68,Metionina, mg,403,aminoacidi
69,Cistina, mg,105,aminoacidi
70,Fenilalanina, mg,593,aminoacidi
71,Tirosina, mg,508,aminoacidi
72,Valina, mg,586,aminoacidi
73,Arginina, mg,933,aminoacidi
74,Istidina, mg,543,aminoacidi
75,Alanina, mg,936,aminoacidi
76,Acido aspartico, mg,1455,aminoacidi
77,Acido glutammico, mg,2400,aminoacidi
78,Glicina, mg,837,aminoacidi
79,Prolina, mg,698,aminoacidi
80,Serina, mg,668,aminoacidi
81,Glucosio, g,"0,0",zuccheri
82,Fruttosio, g,"0,0",zuccheri
83,Galattosio, g,"0,0",zuccheri
84,Saccarosio (MSE), g,"0,0",zuccheri
85,Maltosio (MSE), g,"0,0",zuccheri
86,Lattosio (MSE), g,"0,0",zuccheri
