,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1427,componenti principali
2,"Energia,  Ric con fibra", kJ,1427,componenti principali
3,"Energia,  ricalcolata", kcal,344,componenti principali
4,"Energia,  Ric con fibra", kcal,344,componenti principali
5,Proteine totali, g,"23,0",componenti principali
6,   Proteine animali, g,"23,0",componenti principali
7,   Proteine vegetali, g,"0,0",componenti principali
8,Lipidi totali, g,"28,0",componenti principali
9,   Lipidi animali, g,"28,0",componenti principali
10,   Lipidi vegetali, g,"0,0",componenti principali
11,Colesterolo, mg,100,componenti principali
12,Carboidrati disponibili (MSE), g,tr,componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,tr,componenti principali
15,Fibra alimentare totale, g,"0,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"44,0",componenti principali
18,Ferro, mg,"0,5",minerali ed elementi in traccia
19,Calcio, mg,560,minerali ed elementi in traccia
20,Sodio, mg,1250,minerali ed elementi in traccia
21,Potassio, mg,100,minerali ed elementi in traccia
22,Fosforo, mg,350,minerali ed elementi in traccia
23,Zinco, mg,"1,80",minerali ed elementi in traccia
24,Magnesio, mg,38,minerali ed elementi in traccia
25,Rame, mg,tr,minerali ed elementi in traccia
26,Selenio, µg,"15,0",minerali ed elementi in traccia
27,Cloro, mg,1440,minerali ed elementi in traccia
28,Iodio, µg,4,minerali ed elementi in traccia
29,Manganese, mg,tr,minerali ed elementi in traccia
30,Zolfo, mg,230,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,"0,03",vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,20",vitamine idrosolubili
33,Vitamina C, mg,1,vitamine idrosolubili
34,Niacina, mg,"0,10",vitamine idrosolubili
35,Vitamina B6, mg,"0,08",vitamine idrosolubili
36,Folati totali, µg,43,vitamine idrosolubili
37,Acido pantotenico, mg,"0,32",vitamine idrosolubili
38,Biotina, µg,"1,4",vitamine idrosolubili
39,Vitamina B12, µg,"1,7",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,360,retinolo equivalente
41,   Retinolo, µg,330,retinolo equivalente
42,   ß-carotene eq., µg,180,retinolo equivalente
43,Vitamina E (ATE), mg,"0,48",retinolo equivalente
44,Vitamina D, µg,"0,22",retinolo equivalente
45,Acidi grassi saturi totali, g,"17,97",acidi grassi
46,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"3,05",acidi grassi
47,Acido laurico, g,"1,24",acidi grassi
48,Acido miristico, g,"3,10",acidi grassi
49,Acido palmitico, g,"6,99",acidi grassi
50,Acido stearico, g,"2,98",acidi grassi
51,Acidi grassi monoinsaturi totali, g,"7,91",acidi grassi
52,Acido palmitoleico, g,"0,91",acidi grassi
53,Acido oleico, g,"0,40",acidi grassi
54,Acidi eicosenoico, g,"0,00",acidi grassi
55,Acido erucico, g,"0,00",acidi grassi
56,Acidi grassi polinsaturi totali, g,"0,67",acidi grassi
57,Acido linoleico, g,"0,27",acidi grassi
58,Acido linolenico, g,"0,40",acidi grassi
59,Acido arachidonico, g,"0,00",acidi grassi
60,Acido eicosapentaenoico (EPA), g,"0,00",acidi grassi
61,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
62,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
63,Triptofano, mg,325,aminoacidi
64,Treonina, mg,858,aminoacidi
65,Isoleucina, mg,1204,aminoacidi
66,Leucina, mg,2365,aminoacidi
67,Lisina, mg,2448,aminoacidi
68,Metionina, mg,663,aminoacidi
69,Cistina, mg,234,aminoacidi
70,Fenilalanina, mg,1320,aminoacidi
71,Tirosina, mg,1341,aminoacidi
72,Valina, mg,1666,aminoacidi
73,Arginina, mg,887,aminoacidi
74,Istidina, mg,952,aminoacidi
75,Alanina, mg,703,aminoacidi
76,Acido aspartico, mg,1607,aminoacidi
77,Acido glutammico, mg,5660,aminoacidi
78,Glicina, mg,447,aminoacidi
79,Prolina, mg,2993,aminoacidi
80,Serina, mg,1424,aminoacidi
81,Glucosio, g,"0,0",zuccheri
82,Fruttosio, g,"0,0",zuccheri
83,Galattosio, g,"0,0",zuccheri
84,Saccarosio (MSE), g,"0,0",zuccheri
85,Maltosio (MSE), g,"0,0",zuccheri
86,Lattosio (MSE), g,tr,zuccheri
