,components,unit,value,section
0,Parte edibile, %,72,componenti principali
1,"Energia,  ricalcolata", kJ,97,componenti principali
2,"Energia,  Ric con fibra", kJ,138,componenti principali
3,"Energia,  ricalcolata", kcal,23,componenti principali
4,"Energia,  Ric con fibra", kcal,33,componenti principali
5,Proteine totali, g,"1,9",componenti principali
6,   Proteine animali, g,"0,0",componenti principali
7,   Proteine vegetali, g,"1,9",componenti principali
8,Lipidi totali, g,"0,1",componenti principali
9,   Lipidi animali, g,"0,0",componenti principali
10,   Lipidi vegetali, g,"0,1",componenti principali
11,Colesterolo, mg,0,componenti principali
12,Carboidrati disponibili (MSE), g,"3,8",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"3,8",componenti principali
15,Fibra alimentare totale, g,"5,1",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"88,0",componenti principali
18,Ferro, mg,"0,5",minerali ed elementi in traccia
19,Calcio, mg,52,minerali ed elementi in traccia
20,Sodio, mg,91,minerali ed elementi in traccia
21,Potassio, mg,460,minerali ed elementi in traccia
22,Fosforo, mg,90,minerali ed elementi in traccia
23,Zinco, mg,"0,30",minerali ed elementi in traccia
24,"Vitamina B1,  Tiamina", mg,"0,07",vitamine idrosolubili
25,"Vitamina B2,  Riboflavina", mg,"0,11",vitamine idrosolubili
26,Vitamina C, mg,6,vitamine idrosolubili
27,Niacina, mg,"0,50",vitamine idrosolubili
28,Vitamina B6, mg,"0,08",vitamine idrosolubili
29,Folati totali, µg,51,vitamine idrosolubili
30,   Retinolo eq. (RE), µg,0,retinolo equivalente
31,   Retinolo, µg,0,retinolo equivalente
32,   ß-carotene eq., µg,0,retinolo equivalente
33,Vitamina E (ATE), mg,"0,52",retinolo equivalente
34,Vitamina D, µg,"0,00",retinolo equivalente
35,Acidi grassi saturi totali, g,"0,03",acidi grassi
36,Acidi grassi monoinsaturi totali, g,"0,02",acidi grassi
37,Acido oleico, g,"0,02",acidi grassi
38,Acidi grassi polinsaturi totali, g,"0,05",acidi grassi
39,Acido linoleico, g,"0,05",acidi grassi
40,Acido linolenico, g,"0,00",acidi grassi
41,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
