,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1608,componenti principali
2,"Energia,  Ric con fibra", kJ,1608,componenti principali
3,"Energia,  ricalcolata", kcal,389,componenti principali
4,"Energia,  Ric con fibra", kcal,389,componenti principali
5,Proteine totali, g,"13,4",componenti principali
6,   Proteine animali, g,"13,4",componenti principali
7,   Proteine vegetali, g,"0,0",componenti principali
8,Lipidi totali, g,"37,1",componenti principali
9,   Lipidi animali, g,"37,1",componenti principali
10,   Lipidi vegetali, g,"0,0",componenti principali
11,Colesterolo, mg,83,componenti principali
12,Carboidrati disponibili (MSE), g,"0,7",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"0,7",componenti principali
15,Fibra alimentare totale, g,"0,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"47,6",componenti principali
18,Ferro, mg,"0,3",minerali ed elementi in traccia
19,Calcio, mg,235,minerali ed elementi in traccia
20,Sodio, mg,343,minerali ed elementi in traccia
21,Potassio, mg,82,minerali ed elementi in traccia
22,Fosforo, mg,212,minerali ed elementi in traccia
23,Zinco, mg,"1,61",minerali ed elementi in traccia
24,Magnesio, mg,15,minerali ed elementi in traccia
25,Rame, mg,"0,05",minerali ed elementi in traccia
26,Selenio, µg,"4,5",minerali ed elementi in traccia
27,Cloro, mg,895,minerali ed elementi in traccia
28,Iodio, µg,38,minerali ed elementi in traccia
29,Manganese, mg,"0,00",minerali ed elementi in traccia
30,Zolfo, mg,230,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,"0,01",vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,20",vitamine idrosolubili
33,Vitamina C, mg,0,vitamine idrosolubili
34,Niacina, mg,"0,50",vitamine idrosolubili
35,Vitamina B6, mg,"0,06",vitamine idrosolubili
36,Folati totali, µg,32,vitamine idrosolubili
37,Acido pantotenico, mg,"0,25",vitamine idrosolubili
38,Biotina, µg,"2,3",vitamine idrosolubili
39,Vitamina B12, µg,"0,8",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,272,retinolo equivalente
41,   Retinolo, µg,243,retinolo equivalente
42,   ß-carotene eq., µg,173,retinolo equivalente
43,Vitamina E (ATE), mg,"0,76",retinolo equivalente
44,Vitamina D, µg,"0,26",retinolo equivalente
45,Acidi grassi saturi totali, g,"20,32",acidi grassi
46,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"3,04",acidi grassi
47,Acido laurico, g,"1,01",acidi grassi
48,Acido miristico, g,"3,43",acidi grassi
49,Acido palmitico, g,"8,83",acidi grassi
50,Acido stearico, g,"4,01",acidi grassi
51,Acido arachidico, g,"0,00",acidi grassi
52,Acido beenico, g,"0,00",acidi grassi
53,Acidi grassi monoinsaturi totali, g,"10,73",acidi grassi
54,Acido miristoleico, g,"0,46",acidi grassi
55,Acido palmitoleico, g,"1,02",acidi grassi
56,Acido oleico, g,"9,25",acidi grassi
57,Acidi eicosenoico, g,"0,00",acidi grassi
58,Acido erucico, g,"0,00",acidi grassi
59,Acidi grassi polinsaturi totali, g,"1,15",acidi grassi
60,Acido linoleico, g,"0,68",acidi grassi
61,Acido linolenico, g,"0,47",acidi grassi
62,Acido arachidonico, g,"0,00",acidi grassi
63,Acido eicosapentaenoico (EPA), g,"0,00",acidi grassi
64,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
65,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
66,Triptofano, mg,157,aminoacidi
67,Treonina, mg,480,aminoacidi
68,Isoleucina, mg,599,aminoacidi
69,Leucina, mg,1060,aminoacidi
70,Lisina, mg,934,aminoacidi
71,Metionina, mg,395,aminoacidi
72,Cistina, mg,94,aminoacidi
73,Fenilalanina, mg,621,aminoacidi
74,Tirosina, mg,695,aminoacidi
75,Valina, mg,724,aminoacidi
76,Arginina, mg,371,aminoacidi
77,Istidina, mg,330,aminoacidi
78,Alanina, mg,402,aminoacidi
79,Acido aspartico, mg,936,aminoacidi
80,Acido glutammico, mg,2201,aminoacidi
81,Glicina, mg,239,aminoacidi
82,Prolina, mg,1250,aminoacidi
83,Serina, mg,647,aminoacidi
84,Glucosio, g,"0,0",zuccheri
85,Fruttosio, g,"0,0",zuccheri
86,Galattosio, g,"0,0",zuccheri
87,Saccarosio (MSE), g,"0,0",zuccheri
88,Maltosio (MSE), g,"0,0",zuccheri
89,Lattosio (MSE), g,"0,7",zuccheri
