,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,479,componenti principali
2,"Energia,  Ric con fibra", kJ,479,componenti principali
3,"Energia,  ricalcolata", kcal,115,componenti principali
4,"Energia,  Ric con fibra", kcal,115,componenti principali
5,Proteine totali, g,"9,7",componenti principali
6,   Proteine animali, g,"9,7",componenti principali
7,   Proteine vegetali, g,"0,0",componenti principali
8,Lipidi totali, g,"7,1",componenti principali
9,   Lipidi animali, g,"7,1",componenti principali
10,   Lipidi vegetali, g,"0,0",componenti principali
11,Colesterolo, mg,24,componenti principali
12,Carboidrati disponibili (MSE), g,"3,2",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"3,2",componenti principali
15,Fibra alimentare totale, g,"0,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"78,8",componenti principali
18,Ferro, mg,"0,1",minerali ed elementi in traccia
19,Calcio, mg,73,minerali ed elementi in traccia
20,Sodio, mg,290,minerali ed elementi in traccia
21,Potassio, mg,89,minerali ed elementi in traccia
22,Fosforo, mg,75,minerali ed elementi in traccia
23,Zinco, mg,"0,60",minerali ed elementi in traccia
24,Magnesio, mg,9,minerali ed elementi in traccia
25,Rame, mg,"0,04",minerali ed elementi in traccia
26,Selenio, µg,"4,0",minerali ed elementi in traccia
27,Cloro, mg,550,minerali ed elementi in traccia
28,Iodio, µg,4,minerali ed elementi in traccia
29,Manganese, mg,tr,minerali ed elementi in traccia
30,Zolfo, mg,110,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,"0,01",vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,40",vitamine idrosolubili
33,Vitamina C, mg,0,vitamine idrosolubili
34,Niacina, mg,"0,12",vitamine idrosolubili
35,Vitamina B6, mg,"0,08",vitamine idrosolubili
36,Folati totali, µg,27,vitamine idrosolubili
37,Acido pantotenico, mg,"0,40",vitamine idrosolubili
38,Biotina, µg,"3,0",vitamine idrosolubili
39,Vitamina B12, µg,"0,7",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,83,retinolo equivalente
41,   Retinolo, µg,80,retinolo equivalente
42,   ß-carotene eq., µg,18,retinolo equivalente
43,Vitamina E (ATE), mg,tr,retinolo equivalente
44,Vitamina D, µg,"0,05",retinolo equivalente
45,Acidi grassi saturi totali, g,"4,24",acidi grassi
46,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"0,64",acidi grassi
47,Acido laurico, g,"0,23",acidi grassi
48,Acido miristico, g,"0,75",acidi grassi
49,Acido palmitico, g,"1,74",acidi grassi
50,Acido stearico, g,"0,75",acidi grassi
51,Acido arachidico, g,"0,00",acidi grassi
52,Acido beenico, g,"0,00",acidi grassi
53,Acidi grassi monoinsaturi totali, g,"2,25",acidi grassi
54,Acido miristoleico, g,"0,09",acidi grassi
55,Acido palmitoleico, g,"0,18",acidi grassi
56,Acido oleico, g,"1,86",acidi grassi
57,Acidi eicosenoico, g,"0,00",acidi grassi
58,Acido erucico, g,"0,00",acidi grassi
59,Acidi grassi polinsaturi totali, g,"0,20",acidi grassi
60,Acido linoleico, g,"0,09",acidi grassi
61,Acido linolenico, g,"0,11",acidi grassi
62,Acido arachidonico, g,"0,00",acidi grassi
63,Acido eicosapentaenoico (EPA), g,"0,00",acidi grassi
64,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
65,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
66,Treonina, mg,397,aminoacidi
67,Isoleucina, mg,488,aminoacidi
68,Leucina, mg,978,aminoacidi
69,Lisina, mg,736,aminoacidi
70,Metionina, mg,242,aminoacidi
71,Cistina, mg,84,aminoacidi
72,Fenilalanina, mg,499,aminoacidi
73,Tirosina, mg,487,aminoacidi
74,Valina, mg,642,aminoacidi
75,Arginina, mg,348,aminoacidi
76,Istidina, mg,309,aminoacidi
77,Alanina, mg,293,aminoacidi
78,Acido aspartico, mg,700,aminoacidi
79,Acido glutammico, mg,1610,aminoacidi
80,Glicina, mg,194,aminoacidi
81,Prolina, mg,800,aminoacidi
82,Serina, mg,517,aminoacidi
83,Glucosio, g,"0,0",zuccheri
84,Fruttosio, g,"0,0",zuccheri
85,Galattosio, g,"0,0",zuccheri
86,Saccarosio (MSE), g,"0,0",zuccheri
87,Maltosio (MSE), g,"0,0",zuccheri
88,Lattosio (MSE), g,"3,2",zuccheri
