,components,unit,value,section
0,Parte edibile, %,70,componenti principali
1,"Energia,  ricalcolata", kJ,898,componenti principali
2,"Energia,  Ric con fibra", kJ,898,componenti principali
3,"Energia,  ricalcolata", kcal,216,componenti principali
4,"Energia,  Ric con fibra", kcal,216,componenti principali
5,Proteine totali, g,"16,5",componenti principali
6,   Proteine animali, g,"16,5",componenti principali
7,   Proteine vegetali, g,"0,0",componenti principali
8,Lipidi totali, g,"16,7",componenti principali
9,   Lipidi animali, g,"16,7",componenti principali
10,   Lipidi vegetali, g,"0,0",componenti principali
11,Colesterolo, mg,85,componenti principali
12,Carboidrati disponibili (MSE), g,"0,0",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"0,0",componenti principali
15,Fibra alimentare totale, g,"0,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"60,1",componenti principali
18,Ferro, mg,"0,9",minerali ed elementi in traccia
19,Calcio, mg,63,minerali ed elementi in traccia
20,Sodio, mg,150,minerali ed elementi in traccia
21,Potassio, mg,320,minerali ed elementi in traccia
22,Fosforo, mg,113,minerali ed elementi in traccia
23,Zinco, mg,"1,10",minerali ed elementi in traccia
24,Magnesio, mg,40,minerali ed elementi in traccia
25,Rame, mg,"0,17",minerali ed elementi in traccia
26,Selenio, µg,"44,0",minerali ed elementi in traccia
27,Cloro, mg,212,minerali ed elementi in traccia
28,Iodio, µg,36,minerali ed elementi in traccia
29,Manganese, mg,"0,05",minerali ed elementi in traccia
30,Zolfo, mg,150,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,"0,12",vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,18",vitamine idrosolubili
33,Vitamina C, mg,tr,vitamine idrosolubili
34,Niacina, mg,"3,50",vitamine idrosolubili
35,Vitamina B6, mg,"0,55",vitamine idrosolubili
36,Folati totali, µg,11,vitamine idrosolubili
37,Acido pantotenico, mg,"1,01",vitamine idrosolubili
38,Biotina, µg,"9,0",vitamine idrosolubili
39,Vitamina B12, µg,"16,0",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,12,retinolo equivalente
41,   Retinolo, µg,12,retinolo equivalente
42,   ß-carotene eq., µg,tr,retinolo equivalente
43,Vitamina E (ATE), mg,"1,20",retinolo equivalente
44,Vitamina D, µg,"30,00",retinolo equivalente
45,Acidi grassi saturi totali, g,"3,33",acidi grassi
46,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"0,00",acidi grassi
47,Acido laurico, g,"0,00",acidi grassi
48,Acido miristico, g,"1,03",acidi grassi
49,Acido palmitico, g,"2,11",acidi grassi
50,Acido stearico, g,"0,19",acidi grassi
51,Acido arachidico, g,"0,00",acidi grassi
52,Acido beenico, g,"0,00",acidi grassi
53,Acidi grassi monoinsaturi totali, g,"8,63",acidi grassi
54,Acido miristoleico, g,"0,00",acidi grassi
55,Acido palmitoleico, g,"1,55",acidi grassi
56,Acido oleico, g,"2,35",acidi grassi
57,Acidi eicosenoico, g,"2,04",acidi grassi
58,Acido erucico, g,"2,69",acidi grassi
59,Acidi grassi polinsaturi totali, g,"2,61",acidi grassi
60,Acido linoleico, g,"0,22",acidi grassi
61,Acido linolenico, g,"0,19",acidi grassi
62,Acido arachidonico, g,"0,10",acidi grassi
63,Acido eicosapentaenoico (EPA), g,"1,09",acidi grassi
64,Acido decosaesaenoico (DHA), g,"1,01",acidi grassi
65,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
66,Triptofano, mg,185,aminoacidi
67,Treonina, mg,723,aminoacidi
68,Isoleucina, mg,761,aminoacidi
69,Leucina, mg,1341,aminoacidi
70,Lisina, mg,1516,aminoacidi
71,Metionina, mg,489,aminoacidi
72,Cistina, mg,177,aminoacidi
73,Fenilalanina, mg,644,aminoacidi
74,Tirosina, mg,557,aminoacidi
75,Valina, mg,850,aminoacidi
76,Arginina, mg,988,aminoacidi
77,Istidina, mg,486,aminoacidi
78,Alanina, mg,998,aminoacidi
79,Acido aspartico, mg,1690,aminoacidi
80,Acido glutammico, mg,2463,aminoacidi
81,Glicina, mg,792,aminoacidi
82,Prolina, mg,583,aminoacidi
83,Serina, mg,673,aminoacidi
84,Glucosio, g,"0,0",zuccheri
85,Fruttosio, g,"0,0",zuccheri
86,Galattosio, g,"0,0",zuccheri
87,Saccarosio (MSE), g,"0,0",zuccheri
88,Maltosio (MSE), g,"0,0",zuccheri
89,Lattosio (MSE), g,"0,0",zuccheri
