,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1359,componenti principali
2,"Energia,  Ric con fibra", kJ,1497,componenti principali
3,"Energia,  ricalcolata", kcal,319,componenti principali
4,"Energia,  Ric con fibra", kcal,354,componenti principali
5,Proteine totali, g,"10,2",componenti principali
6,   Proteine animali, g,"0,0",componenti principali
7,   Proteine vegetali, g,"10,2",componenti principali
8,Lipidi totali, g,"1,9",componenti principali
9,   Lipidi animali, g,"0,0",componenti principali
10,   Lipidi vegetali, g,"1,9",componenti principali
11,Colesterolo, mg,0,componenti principali
12,Carboidrati disponibili (MSE), g,"69,7",componenti principali
13,   Amido (MSE), g,"50,7",componenti principali
14,   Carboidrati solubili (MSE), g,"19,0",componenti principali
15,Fibra alimentare totale, g,"17,3",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"3,0",componenti principali
18,Ferro, mg,"40,0",minerali ed elementi in traccia
19,Calcio, mg,50,minerali ed elementi in traccia
20,Sodio, mg,910,minerali ed elementi in traccia
21,Potassio, mg,540,minerali ed elementi in traccia
22,Fosforo, mg,370,minerali ed elementi in traccia
23,Zinco, mg,"1,90",minerali ed elementi in traccia
24,"Vitamina B1,  Tiamina", mg,"1,00",vitamine idrosolubili
25,"Vitamina B2,  Riboflavina", mg,"1,50",vitamine idrosolubili
26,Vitamina C, mg,35,vitamine idrosolubili
27,Niacina, mg,"16,00",vitamine idrosolubili
28,Vitamina B6, mg,"1,80",vitamine idrosolubili
29,Folati totali, µg,250,vitamine idrosolubili
30,   Retinolo eq. (RE), µg,0,retinolo equivalente
31,   Retinolo, µg,0,retinolo equivalente
32,   ß-carotene eq., µg,0,retinolo equivalente
33,Vitamina E (ATE), mg,"0,60",retinolo equivalente
34,Vitamina D, µg,"0,00",retinolo equivalente
35,Acidi grassi saturi totali, g,"0,44",acidi grassi
36,Acidi grassi monoinsaturi totali, g,"0,21",acidi grassi
37,Acido oleico, g,"0,21",acidi grassi
38,Acidi grassi polinsaturi totali, g,"1,16",acidi grassi
39,Acido linoleico, g,"1,10",acidi grassi
40,Acido linolenico, g,"0,06",acidi grassi
41,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
