,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1517,componenti principali
2,"Energia,  Ric con fibra", kJ,1525,componenti principali
3,"Energia,  ricalcolata", kcal,358,componenti principali
4,"Energia,  Ric con fibra", kcal,360,componenti principali
5,Proteine totali, g,"5,5",componenti principali
6,   Proteine animali, g,"3,8",componenti principali
7,   Proteine vegetali, g,"1,7",componenti principali
8,Lipidi totali, g,"8,3",componenti principali
9,   Lipidi animali, g,"7,9",componenti principali
10,   Lipidi vegetali, g,"0,4",componenti principali
11,Colesterolo, mg,188,componenti principali
12,Carboidrati disponibili (MSE), g,"69,8",componenti principali
13,   Amido (MSE), g,"23,3",componenti principali
14,   Carboidrati solubili (MSE), g,"46,5",componenti principali
15,Fibra alimentare totale, g,"1,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"19,7",componenti principali
18,Ferro, mg,"0,8",minerali ed elementi in traccia
19,Calcio, mg,11,minerali ed elementi in traccia
20,Sodio, mg,130,minerali ed elementi in traccia
21,Potassio, mg,98,minerali ed elementi in traccia
22,Fosforo, mg,55,minerali ed elementi in traccia
23,Zinco, mg,"0,70",minerali ed elementi in traccia
24,"Vitamina B1,  Tiamina", mg,"0,07",vitamine idrosolubili
25,"Vitamina B2,  Riboflavina", mg,"0,17",vitamine idrosolubili
26,Vitamina C, mg,0,vitamine idrosolubili
27,Niacina, mg,"0,30",vitamine idrosolubili
28,Vitamina B6, mg,"0,05",vitamine idrosolubili
29,Folati totali, µg,13,vitamine idrosolubili
30,   Retinolo eq. (RE), µg,79,retinolo equivalente
31,   Retinolo, µg,74,retinolo equivalente
32,   ß-carotene eq., µg,29,retinolo equivalente
33,Vitamina E (ATE), mg,"0,73",retinolo equivalente
34,Vitamina D, µg,"0,50",retinolo equivalente
35,Acidi grassi saturi totali, g,"2,45",acidi grassi
36,Acidi grassi monoinsaturi totali, g,"3,25",acidi grassi
37,Acido oleico, g,"2,95",acidi grassi
38,Acidi grassi polinsaturi totali, g,"1,17",acidi grassi
39,Acido linoleico, g,"1,06",acidi grassi
40,Acido linolenico, g,"0,05",acidi grassi
41,Altri acidi grassi polinsaturi, g,"0,06",acidi grassi
