,components,unit,value,section
0,Parte edibile, %,37,componenti principali
1,"Energia,  ricalcolata", kJ,2603,componenti principali
2,"Energia,  Ric con fibra", kJ,2672,componenti principali
3,"Energia,  ricalcolata", kcal,630,componenti principali
4,"Energia,  Ric con fibra", kcal,647,componenti principali
5,Proteine totali, g,"18,8",componenti principali
6,   Proteine animali, g,"0,0",componenti principali
7,   Proteine vegetali, g,"18,8",componenti principali
8,Lipidi totali, g,"59,5",componenti principali
9,   Lipidi animali, g,"0,0",componenti principali
10,   Lipidi vegetali, g,"59,5",componenti principali
11,Colesterolo, mg,0,componenti principali
12,Carboidrati disponibili (MSE), g,"5,1",componenti principali
13,   Amido (MSE), g,"1,7",componenti principali
14,   Carboidrati solubili (MSE), g,"3,4",componenti principali
15,Fibra alimentare totale, g,"8,6",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"5,5",componenti principali
18,Ferro, mg,"3,0",minerali ed elementi in traccia
19,Calcio, mg,103,minerali ed elementi in traccia
20,Sodio, mg,2,minerali ed elementi in traccia
21,Potassio, mg,699,minerali ed elementi in traccia
22,Fosforo, mg,371,minerali ed elementi in traccia
23,Zinco, mg,"4,53",minerali ed elementi in traccia
24,Magnesio, mg,182,minerali ed elementi in traccia
25,Rame, mg,"0,83",minerali ed elementi in traccia
26,Selenio, µg,"3,8",minerali ed elementi in traccia
27,Cloro, mg,23,minerali ed elementi in traccia
28,Iodio, µg,8,minerali ed elementi in traccia
29,Manganese, mg,"3,39",minerali ed elementi in traccia
30,Zolfo, mg,174,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,"0,50",vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,23",vitamine idrosolubili
33,Vitamina C, mg,1,vitamine idrosolubili
34,Niacina, mg,"3,31",vitamine idrosolubili
35,Vitamina B6, mg,"0,45",vitamine idrosolubili
36,Folati totali, µg,55,vitamine idrosolubili
37,Acido pantotenico, mg,"1,15",vitamine idrosolubili
38,Biotina, µg,"49,8",vitamine idrosolubili
39,Vitamina B12, µg,"0,0",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,5,retinolo equivalente
41,   Retinolo, µg,0,retinolo equivalente
42,   ß-carotene eq., µg,31,retinolo equivalente
43,Vitamina E (ATE), mg,"10,35",retinolo equivalente
44,Vitamina D, µg,"0,00",retinolo equivalente
45,Vitamina K, µg,"8,13",retinolo equivalente
46,Acidi grassi saturi totali, g,"5,19",acidi grassi
47,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"0,00",acidi grassi
48,Acido laurico, g,"0,00",acidi grassi
49,Acido miristico, g,"0,32",acidi grassi
50,Acido palmitico, g,"3,55",acidi grassi
51,Acido stearico, g,"1,03",acidi grassi
52,Acido arachidico, g,"0,29",acidi grassi
53,Acido beenico, g,"0,01",acidi grassi
54,Acidi grassi monoinsaturi totali, g,"18,56",acidi grassi
55,Acido miristoleico, g,"0,00",acidi grassi
56,Acido palmitoleico, g,"0,17",acidi grassi
57,Acido oleico, g,"18,25",acidi grassi
58,Acidi eicosenoico, g,"0,14",acidi grassi
59,Acido erucico, g,"0,00",acidi grassi
60,Acidi grassi polinsaturi totali, g,"27,76",acidi grassi
61,Acido linoleico, g,"24,23",acidi grassi
62,Acido linolenico, g,"3,46",acidi grassi
63,Acido arachidonico, g,"0,00",acidi grassi
64,Acido eicosapentaenoico (EPA), g,"0,00",acidi grassi
65,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
66,Altri acidi grassi polinsaturi, g,"0,07",acidi grassi
67,Triptofano, mg,157,aminoacidi
68,Treonina, mg,538,aminoacidi
69,Isoleucina, mg,717,aminoacidi
70,Leucina, mg,1288,aminoacidi
71,Lisina, mg,529,aminoacidi
72,Metionina, mg,310,aminoacidi
73,Cistina, mg,320,aminoacidi
74,Fenilalanina, mg,850,aminoacidi
75,Tirosina, mg,667,aminoacidi
76,Valina, mg,951,aminoacidi
77,Arginina, mg,2637,aminoacidi
78,Istidina, mg,439,aminoacidi
79,Alanina, mg,805,aminoacidi
80,Acido aspartico, mg,1901,aminoacidi
81,Acido glutammico, mg,3863,aminoacidi
82,Glicina, mg,978,aminoacidi
83,Prolina, mg,916,aminoacidi
84,Serina, mg,851,aminoacidi
85,Glucosio, g,"0,1",zuccheri
86,Fruttosio, g,"0,1",zuccheri
87,Galattosio, g,"0,0",zuccheri
88,Saccarosio (MSE), g,"3,2",zuccheri
89,Maltosio (MSE), g,"0,0",zuccheri
90,Lattosio (MSE), g,"0,0",zuccheri
