,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1466,componenti principali
2,"Energia,  Ric con fibra", kJ,1491,componenti principali
3,"Energia,  ricalcolata", kcal,346,componenti principali
4,"Energia,  Ric con fibra", kcal,352,componenti principali
5,Proteine totali, g,"8,6",componenti principali
6,   Proteine animali, g,"1,2",componenti principali
7,   Proteine vegetali, g,"7,0",componenti principali
8,Lipidi totali, g,"7,6",componenti principali
9,   Lipidi animali, g,"5,1",componenti principali
10,   Lipidi vegetali, g,"2,5",componenti principali
11,Colesterolo, mg,11,componenti principali
12,Carboidrati disponibili (MSE), g,"64,9",componenti principali
13,   Amido (MSE), g,"61,3",componenti principali
14,   Carboidrati solubili (MSE), g,"3,6",componenti principali
15,Fibra alimentare totale, g,"3,1",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"20,0",componenti principali
18,Ferro, mg,"1,7",minerali ed elementi in traccia
19,Calcio, mg,70,minerali ed elementi in traccia
20,Sodio, mg,500,minerali ed elementi in traccia
21,Potassio, mg,150,minerali ed elementi in traccia
22,Fosforo, mg,140,minerali ed elementi in traccia
23,Zinco, mg,tr,minerali ed elementi in traccia
24,"Vitamina B1,  Tiamina", mg,"0,10",vitamine idrosolubili
25,"Vitamina B2,  Riboflavina", mg,"0,11",vitamine idrosolubili
26,Vitamina C, mg,tr,vitamine idrosolubili
27,Niacina, mg,"0,70",vitamine idrosolubili
28,Vitamina B6, mg,"0,11",vitamine idrosolubili
29,Folati totali, µg,44,vitamine idrosolubili
30,   Retinolo eq. (RE), µg,84,retinolo equivalente
31,   Retinolo, µg,78,retinolo equivalente
32,   ß-carotene eq., µg,34,retinolo equivalente
33,Vitamina E (ATE), mg,"0,84",retinolo equivalente
34,Vitamina D, µg,"0,62",retinolo equivalente
35,Acidi grassi saturi totali, g,"2,70",acidi grassi
36,Acidi grassi monoinsaturi totali, g,"3,01",acidi grassi
37,Acido oleico, g,"2,62",acidi grassi
38,Acidi grassi polinsaturi totali, g,"1,61",acidi grassi
39,Acido linoleico, g,"1,50",acidi grassi
40,Acido linolenico, g,"0,11",acidi grassi
41,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
