,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1301,componenti principali
2,"Energia,  Ric con fibra", kJ,1426,componenti principali
3,"Energia,  ricalcolata", kcal,306,componenti principali
4,"Energia,  Ric con fibra", kcal,337,componenti principali
5,Proteine totali, g,"21,7",componenti principali
6,   Proteine animali, g,"0,0",componenti principali
7,   Proteine vegetali, g,"21,7",componenti principali
8,Lipidi totali, g,"2,0",componenti principali
9,   Lipidi animali, g,"0,0",componenti principali
10,   Lipidi vegetali, g,"2,0",componenti principali
11,Colesterolo, mg,0,componenti principali
12,Carboidrati disponibili (MSE), g,"53,6",componenti principali
13,   Amido (MSE), g,"50,7",componenti principali
14,   Carboidrati solubili (MSE), g,"2,9",componenti principali
15,Fibra alimentare totale, g,"15,7",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"13,0",componenti principali
18,Ferro, mg,"4,5",minerali ed elementi in traccia
19,Calcio, mg,48,minerali ed elementi in traccia
20,Sodio, mg,38,minerali ed elementi in traccia
21,Potassio, mg,990,minerali ed elementi in traccia
22,Fosforo, mg,320,minerali ed elementi in traccia
23,Zinco, mg,"2,60",minerali ed elementi in traccia
24,"Vitamina B1,  Tiamina", mg,"0,58",vitamine idrosolubili
25,"Vitamina B2,  Riboflavina", mg,"0,15",vitamine idrosolubili
26,Vitamina C, mg,4,vitamine idrosolubili
27,Niacina, mg,"2,20",vitamine idrosolubili
28,Vitamina B6, mg,"0,13",vitamine idrosolubili
29,Folati totali, µg,33,vitamine idrosolubili
30,   Retinolo eq. (RE), µg,10,retinolo equivalente
31,   Retinolo, µg,0,retinolo equivalente
32,   ß-carotene eq., µg,60,retinolo equivalente
33,Vitamina E (ATE), mg,tr,retinolo equivalente
34,Vitamina D, µg,"0,00",retinolo equivalente
35,Acidi grassi saturi totali, g,"0,74",acidi grassi
36,Acidi grassi monoinsaturi totali, g,"0,63",acidi grassi
37,Acido oleico, g,"0,58",acidi grassi
38,Acidi grassi polinsaturi totali, g,"0,22",acidi grassi
39,Acido linoleico, g,"0,17",acidi grassi
40,Acido linolenico, g,"0,05",acidi grassi
41,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
