,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,2332,componenti principali
2,"Energia,  Ric con fibra", kJ,2349,componenti principali
3,"Energia,  ricalcolata", kcal,560,componenti principali
4,"Energia,  Ric con fibra", kcal,564,componenti principali
5,Proteine totali, g,"5,6",componenti principali
6,   Proteine animali, g,"0,1",componenti principali
7,   Proteine vegetali, g,"5,5",componenti principali
8,Lipidi totali, g,"40,6",componenti principali
9,   Lipidi animali, g,"26,6",componenti principali
10,   Lipidi vegetali, g,"14,0",componenti principali
11,Colesterolo, mg,15,componenti principali
12,Carboidrati disponibili (MSE), g,"45,9",componenti principali
13,   Amido (MSE), g,"45,0",componenti principali
14,   Carboidrati solubili (MSE), g,"0,9",componenti principali
15,Fibra alimentare totale, g,"2,1",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"7,7",componenti principali
18,Ferro, mg,"1,3",minerali ed elementi in traccia
19,Calcio, mg,84,minerali ed elementi in traccia
20,Sodio, mg,460,minerali ed elementi in traccia
21,Potassio, mg,94,minerali ed elementi in traccia
22,Fosforo, mg,69,minerali ed elementi in traccia
23,Zinco, mg,"0,50",minerali ed elementi in traccia
24,"Vitamina B1,  Tiamina", mg,"0,14",vitamine idrosolubili
25,"Vitamina B2,  Riboflavina", mg,"0,02",vitamine idrosolubili
26,Vitamina C, mg,tr,vitamine idrosolubili
27,Niacina, mg,"1,00",vitamine idrosolubili
28,Vitamina B6, mg,"0,07",vitamine idrosolubili
29,Folati totali, µg,7,vitamine idrosolubili
30,   Retinolo eq. (RE), µg,180,retinolo equivalente
31,   Retinolo, µg,175,retinolo equivalente
32,   ß-carotene eq., µg,48,retinolo equivalente
33,Vitamina E (ATE), mg,"1,95",retinolo equivalente
34,Vitamina D, µg,"1,76",retinolo equivalente
35,Acidi grassi saturi totali, g,"15,77",acidi grassi
36,Acidi grassi monoinsaturi totali, g,"16,78",acidi grassi
37,Acido oleico, g,"12,13",acidi grassi
38,Acidi grassi polinsaturi totali, g,"5,00",acidi grassi
39,Acido linoleico, g,"2,87",acidi grassi
40,Acido linolenico, g,"0,22",acidi grassi
41,Altri acidi grassi polinsaturi, g,"0,68",acidi grassi
