,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1367,componenti principali
2,"Energia,  Ric con fibra", kJ,1367,componenti principali
3,"Energia,  ricalcolata", kcal,330,componenti principali
4,"Energia,  Ric con fibra", kcal,330,componenti principali
5,Proteine totali, g,"20,8",componenti principali
6,   Proteine animali, g,"20,8",componenti principali
7,   Proteine vegetali, g,"0,0",componenti principali
8,Lipidi totali, g,"27,0",componenti principali
9,   Lipidi animali, g,"27,0",componenti principali
10,   Lipidi vegetali, g,"0,0",componenti principali
11,Colesterolo, mg,85,componenti principali
12,Carboidrati disponibili (MSE), g,"0,9",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"0,9",componenti principali
15,Fibra alimentare totale, g,"0,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"45,7",componenti principali
18,Ferro, mg,"0,5",minerali ed elementi in traccia
19,Calcio, mg,600,minerali ed elementi in traccia
20,Sodio, mg,1320,minerali ed elementi in traccia
21,Potassio, mg,130,minerali ed elementi in traccia
22,Fosforo, mg,800,minerali ed elementi in traccia
23,Zinco, mg,"3,20",minerali ed elementi in traccia
24,Magnesio, mg,22,minerali ed elementi in traccia
25,Rame, mg,"0,17",minerali ed elementi in traccia
26,Selenio, µg,"10,0",minerali ed elementi in traccia
27,Cloro, mg,1100,minerali ed elementi in traccia
28,Iodio, µg,29,minerali ed elementi in traccia
29,Manganese, mg,tr,minerali ed elementi in traccia
30,Zolfo, mg,120,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,"0,03",vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,28",vitamine idrosolubili
33,Vitamina C, mg,tr,vitamine idrosolubili
34,Niacina, mg,"0,10",vitamine idrosolubili
35,Vitamina B6, mg,"0,08",vitamine idrosolubili
36,Folati totali, µg,18,vitamine idrosolubili
37,Acido pantotenico, mg,"0,31",vitamine idrosolubili
38,Biotina, µg,"2,3",vitamine idrosolubili
39,Vitamina B12, µg,"0,9",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,286,retinolo equivalente
41,   Retinolo, µg,270,retinolo equivalente
42,   ß-carotene eq., µg,95,retinolo equivalente
43,Vitamina E (ATE), mg,"0,55",retinolo equivalente
44,Vitamina D, µg,"0,21",retinolo equivalente
45,Acidi grassi saturi totali, g,"16,14",acidi grassi
46,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"2,34",acidi grassi
47,Acido laurico, g,"0,90",acidi grassi
48,Acido miristico, g,"2,86",acidi grassi
49,Acido palmitico, g,"6,63",acidi grassi
50,Acido stearico, g,"2,86",acidi grassi
51,Acido arachidico, g,"0,00",acidi grassi
52,Acido beenico, g,"0,00",acidi grassi
53,Acidi grassi monoinsaturi totali, g,"8,61",acidi grassi
54,Acido miristoleico, g,"0,36",acidi grassi
55,Acido palmitoleico, g,"0,69",acidi grassi
56,Acido oleico, g,"7,10",acidi grassi
57,Acidi eicosenoico, g,"0,00",acidi grassi
58,Acido erucico, g,"0,00",acidi grassi
59,Acidi grassi polinsaturi totali, g,"0,73",acidi grassi
60,Acido linoleico, g,"0,36",acidi grassi
61,Acido linolenico, g,"0,38",acidi grassi
62,Acido arachidonico, g,"0,00",acidi grassi
63,Acido eicosapentaenoico (EPA), g,"0,00",acidi grassi
64,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
65,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
66,Triptofano, mg,303,aminoacidi
67,Treonina, mg,675,aminoacidi
68,Isoleucina, mg,962,aminoacidi
69,Leucina, mg,1839,aminoacidi
70,Lisina, mg,2064,aminoacidi
71,Metionina, mg,538,aminoacidi
72,Cistina, mg,133,aminoacidi
73,Fenilalanina, mg,1056,aminoacidi
74,Tirosina, mg,1138,aminoacidi
75,Valina, mg,1245,aminoacidi
76,Arginina, mg,871,aminoacidi
77,Istidina, mg,848,aminoacidi
78,Alanina, mg,521,aminoacidi
79,Acido aspartico, mg,1278,aminoacidi
80,Acido glutammico, mg,4317,aminoacidi
81,Glicina, mg,343,aminoacidi
82,Prolina, mg,2116,aminoacidi
83,Serina, mg,1004,aminoacidi
84,Glucosio, g,"0,0",zuccheri
85,Fruttosio, g,"0,0",zuccheri
86,Galattosio, g,"0,0",zuccheri
87,Saccarosio (MSE), g,"0,0",zuccheri
88,Maltosio (MSE), g,"0,0",zuccheri
89,Lattosio (MSE), g,"0,9",zuccheri
