,components,unit,value,section
0,Parte edibile, %,74,componenti principali
1,"Energia,  ricalcolata", kJ,969,componenti principali
2,"Energia,  Ric con fibra", kJ,988,componenti principali
3,"Energia,  ricalcolata", kcal,235,componenti principali
4,"Energia,  Ric con fibra", kcal,240,componenti principali
5,Proteine totali, g,"1,6",componenti principali
6,   Proteine animali, g,"0,0",componenti principali
7,   Proteine vegetali, g,"1,6",componenti principali
8,Lipidi totali, g,"25,1",componenti principali
9,   Lipidi animali, g,"0,0",componenti principali
10,   Lipidi vegetali, g,"25,1",componenti principali
11,Colesterolo, mg,0,componenti principali
12,Carboidrati disponibili (MSE), g,"0,8",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"0,8",componenti principali
15,Fibra alimentare totale, g,"2,4",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"68,6",componenti principali
18,Ferro, mg,"1,6",minerali ed elementi in traccia
19,Calcio, mg,62,minerali ed elementi in traccia
20,Sodio, mg,54,minerali ed elementi in traccia
21,Potassio, mg,432,minerali ed elementi in traccia
22,Fosforo, mg,18,minerali ed elementi in traccia
23,Zinco, mg,"0,50",minerali ed elementi in traccia
24,"Vitamina B1,  Tiamina", mg,"0,10",vitamine idrosolubili
25,"Vitamina B2,  Riboflavina", mg,"0,10",vitamine idrosolubili
26,Vitamina C, mg,20,vitamine idrosolubili
27,Niacina, mg,"1,00",vitamine idrosolubili
28,Vitamina B6, mg,"0,02",vitamine idrosolubili
29,Folati totali, µg,tr,vitamine idrosolubili
30,   Retinolo eq. (RE), µg,55,retinolo equivalente
31,   Retinolo, µg,0,retinolo equivalente
32,   ß-carotene eq., µg,330,retinolo equivalente
33,Vitamina E (ATE), mg,"1,99",retinolo equivalente
34,Vitamina D, µg,"0,00",retinolo equivalente
35,Acidi grassi saturi totali, g,"3,51",acidi grassi
36,Acidi grassi monoinsaturi totali, g,"17,52",acidi grassi
37,Acido oleico, g,"17,27",acidi grassi
38,Acidi grassi polinsaturi totali, g,"2,81",acidi grassi
39,Acido linoleico, g,"2,65",acidi grassi
40,Acido linolenico, g,"0,16",acidi grassi
41,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
