,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,2697,componenti principali
2,"Energia,  Ric con fibra", kJ,2697,componenti principali
3,"Energia,  ricalcolata", kcal,655,componenti principali
4,"Energia,  Ric con fibra", kcal,655,componenti principali
5,Proteine totali, g,"4,2",componenti principali
6,   Proteine animali, g,"4,2",componenti principali
7,   Proteine vegetali, g,"0,0",componenti principali
8,Lipidi totali, g,"70,0",componenti principali
9,   Lipidi animali, g,"4,8",componenti principali
10,   Lipidi vegetali, g,"65,2",componenti principali
11,Colesterolo, mg,70,componenti principali
12,Carboidrati disponibili (MSE), g,"2,2",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"2,2",componenti principali
15,Fibra alimentare totale, g,"0,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"15,1",componenti principali
18,Ferro, mg,"0,5",minerali ed elementi in traccia
19,Calcio, mg,18,minerali ed elementi in traccia
20,Sodio, mg,450,minerali ed elementi in traccia
21,Potassio, mg,16,minerali ed elementi in traccia
22,Fosforo, mg,28,minerali ed elementi in traccia
23,Zinco, mg,"0,50",minerali ed elementi in traccia
24,"Vitamina B1,  Tiamina", mg,"0,02",vitamine idrosolubili
25,"Vitamina B2,  Riboflavina", mg,"0,04",vitamine idrosolubili
26,Vitamina C, mg,tr,vitamine idrosolubili
27,Niacina, mg,tr,vitamine idrosolubili
28,Vitamina B6, mg,"0,01",vitamine idrosolubili
29,Folati totali, µg,4,vitamine idrosolubili
30,   Retinolo eq. (RE), µg,103,retinolo equivalente
31,   Retinolo, µg,86,retinolo equivalente
32,   ß-carotene eq., µg,100,retinolo equivalente
33,Vitamina E (ATE), mg,"18,99",retinolo equivalente
34,Vitamina D, µg,"0,30",retinolo equivalente
35,Acidi grassi saturi totali, g,"8,82",acidi grassi
36,Acidi grassi monoinsaturi totali, g,"23,70",acidi grassi
37,Acido oleico, g,"23,22",acidi grassi
38,Acidi grassi polinsaturi totali, g,"33,35",acidi grassi
39,Acido linoleico, g,"33,07",acidi grassi
40,Acido linolenico, g,"0,24",acidi grassi
41,Altri acidi grassi polinsaturi, g,"0,04",acidi grassi
