,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,739,componenti principali
2,"Energia,  Ric con fibra", kJ,739,componenti principali
3,"Energia,  ricalcolata", kcal,177,componenti principali
4,"Energia,  Ric con fibra", kcal,177,componenti principali
5,Proteine totali, g,"19,3",componenti principali
6,   Proteine animali, g,"19,3",componenti principali
7,   Proteine vegetali, g,"0,0",componenti principali
8,Lipidi totali, g,"11,1",componenti principali
9,   Lipidi animali, g,"11,1",componenti principali
10,   Lipidi vegetali, g,"0,0",componenti principali
11,Colesterolo, mg,94,componenti principali
12,Carboidrati disponibili (MSE), g,"0,0",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"0,0",componenti principali
15,Fibra alimentare totale, g,"0,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"66,0",componenti principali
18,Ferro, mg,"2,1",minerali ed elementi in traccia
19,Calcio, mg,185,minerali ed elementi in traccia
20,Sodio, mg,232,minerali ed elementi in traccia
21,Potassio, mg,95,minerali ed elementi in traccia
22,Fosforo, mg,274,minerali ed elementi in traccia
23,Zinco, mg,"2,30",minerali ed elementi in traccia
24,Magnesio, mg,11,minerali ed elementi in traccia
25,Rame, mg,"0,79",minerali ed elementi in traccia
26,Selenio, µg,"11,0",minerali ed elementi in traccia
27,Cloro, mg,525,minerali ed elementi in traccia
28,Iodio, µg,42,minerali ed elementi in traccia
29,Manganese, mg,"0,08",minerali ed elementi in traccia
30,Zolfo, mg,210,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,"0,06",vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,21",vitamine idrosolubili
33,Vitamina C, mg,0,vitamine idrosolubili
34,Niacina, mg,"5,80",vitamine idrosolubili
35,Vitamina B6, mg,"0,12",vitamine idrosolubili
36,Folati totali, µg,1,vitamine idrosolubili
37,Acido pantotenico, mg,"0,51",vitamine idrosolubili
38,Biotina, µg,"4,0",vitamine idrosolubili
39,Vitamina B12, µg,"7,0",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,129,retinolo equivalente
41,   Retinolo, µg,129,retinolo equivalente
42,   ß-carotene eq., µg,tr,retinolo equivalente
43,Vitamina E (ATE), mg,"0,43",retinolo equivalente
44,Vitamina D, µg,"3,00",retinolo equivalente
45,Acidi grassi saturi totali, g,"2,60",acidi grassi
46,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"0,00",acidi grassi
47,Acido laurico, g,"0,00",acidi grassi
48,Acido miristico, g,"0,50",acidi grassi
49,Acido palmitico, g,"1,76",acidi grassi
50,Acido stearico, g,"0,35",acidi grassi
51,Acido arachidico, g,"0,00",acidi grassi
52,Acido beenico, g,"0,00",acidi grassi
53,Acidi grassi monoinsaturi totali, g,"4,13",acidi grassi
54,Acido miristoleico, g,"0,00",acidi grassi
55,Acido palmitoleico, g,"0,59",acidi grassi
56,Acido oleico, g,"1,84",acidi grassi
57,Acidi eicosenoico, g,"0,71",acidi grassi
58,Acido erucico, g,"0,99",acidi grassi
59,Acidi grassi polinsaturi totali, g,"2,46",acidi grassi
60,Acido linoleico, g,"0,16",acidi grassi
61,Acido linolenico, g,"0,15",acidi grassi
62,Acido arachidonico, g,"0,16",acidi grassi
63,Acido eicosapentaenoico (EPA), g,"0,73",acidi grassi
64,Acido decosaesaenoico (DHA), g,"1,26",acidi grassi
65,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
66,Treonina, mg,1126,aminoacidi
67,Isoleucina, mg,1086,aminoacidi
68,Leucina, mg,1857,aminoacidi
69,Lisina, mg,1561,aminoacidi
70,Metionina, mg,534,aminoacidi
71,Fenilalanina, mg,830,aminoacidi
72,Tirosina, mg,691,aminoacidi
73,Valina, mg,1541,aminoacidi
74,Arginina, mg,1501,aminoacidi
75,Istidina, mg,889,aminoacidi
76,Alanina, mg,1521,aminoacidi
77,Acido aspartico, mg,2331,aminoacidi
78,Acido glutammico, mg,3121,aminoacidi
79,Glicina, mg,1185,aminoacidi
80,Prolina, mg,296,aminoacidi
81,Serina, mg,889,aminoacidi
82,Glucosio, g,"0,0",zuccheri
83,Fruttosio, g,"0,0",zuccheri
84,Galattosio, g,"0,0",zuccheri
85,Saccarosio (MSE), g,"0,0",zuccheri
86,Maltosio (MSE), g,"0,0",zuccheri
87,Lattosio (MSE), g,"0,0",zuccheri
