Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (83g),Cereals and their products,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,3 g,"2,49 g","-43%5,26 g","-52%6,21 g","-72%10,7 g","-69%9,61 g"
- Acidi Grassi saturi,"0,7 g","0,581 g","-50%1,41 g","-58%1,68 g","-70%2,35 g","-67%2,11 g"
Carboidrati,70 g,"58,1 g","+16%60,4 g","+17%59,9 g","+47%47,6 g","+59%43,9 g"
- Zuccheri,"3,5 g","2,91 g","-54%7,6 g","-47%6,57 g","-59%8,57 g","-60%8,8 g"
Fibra alimentare,"2,5 g","2,08 g","-47%4,7 g","-47%4,71 g","-43%4,35 g","-38%4,03 g"
Proteine,"12,5 g","10,4 g","+27%9,83 g","+32%9,47 g","+61%7,75 g","+79%6,98 g"
Sale,"0,8 g","0,664 g","+161%0,307 g","+9%0,732 g","+35%0,594 g","+50%0,534 g"
Sodio,"0,315 g","0,261 g","+161%0,121 g","+9%0,288 g","+35%0,234 g","+50%0,21 g"
"Fruits, vegetables and nuts (minimum)",0 %,0 %,?,?,?,"-100%43,5 %"
Nutrition score - France,0,0,"-100%0,885","-100%3,08","-100%3,1","-100%3,88"
Nutri-Score,B,B,B,C,C,C
