,0,1,2
1,Parte edibile (%):,100,
2,Acqua (g):,41.1,
3,Proteine (g):,4.2,
4,Lipidi(g):,20.5,
5,Colesterolo (mg):,,
6,Carboidrati disponibili (g):,33.3,
7,Amido (g):,,
8,Zuccheri solubili (g):,,
9,Fibra totale (g):,,
10,Fibra solubile (g):,,
11,Fibra insolubile (g):,,
12,Alcol (g):,0,
13,Energia (kcal):,326,
14,Energia (kJ):,1365,
15,Sodio (mg):,,
16,Potassio (mg):,,
17,Ferro (mg):,,
18,Calcio (mg):,96,
19,Fosforo (mg):,131,
20,Magnesio (mg):,,
21,Zinco (mg):,,
22,Rame (mg):,,
23,Selenio (µg):,,
24,Tiamina (mg):,,
25,Riboflavina (mg):,,
26,Niacina (mg):,,
27,Vitamina A retinolo eq. (µg):,,
28,Vitamina C (mg):,,
29,Vitamina E (mg):,,
