,0,1,2
1,Parte edibile (%):,,
2,Acqua (g):,72.4,
3,Proteine (g):,24,
4,Lipidi(g):,3.3,
5,Colesterolo (mg):,51,
6,Carboidrati disponibili (g):,0.3,
7,Amido (g):,0.3,glicogeno
8,Zuccheri solubili (g):,0,
9,Fibra totale (g):,0,
10,Fibra solubile (g):,0,
11,Fibra insolubile (g):,0,
12,Alcol (g):,0,
13,Energia (kcal):,127,
14,Energia (kJ):,531,
15,Sodio (mg):,100,
16,Potassio (mg):,340,
17,Ferro (mg):,1.6,
18,Calcio (mg):,10,
19,Fosforo (mg):,170,
20,Magnesio (mg):,10,
21,Zinco (mg):,2.02,
22,Rame (mg):,0.14,
23,Selenio (µg):,,
24,Tiamina (mg):,,
25,Riboflavina (mg):,,
26,Niacina (mg):,,
27,Vitamina A retinolo eq. (µg):,tr,
28,Vitamina C (mg):,0,
29,Vitamina E (mg):,,
