Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (80 g),Cereals and their products,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,"0,8 g","0,64 g","-85%5,26 g","-87%6,21 g","-93%10,7 g","-92%9,61 g"
- Acidi Grassi saturi,"0,2 g","0,16 g","-86%1,41 g","-88%1,68 g","-91%2,35 g","-91%2,11 g"
Carboidrati,"78,2 g","62,6 g","+29%60,4 g","+31%59,9 g","+64%47,6 g","+78%43,9 g"
- Zuccheri,"0,7 g","0,56 g","-91%7,6 g","-89%6,57 g","-92%8,57 g","-92%8,8 g"
Fibra alimentare,"0,9 g","0,72 g","-81%4,7 g","-81%4,71 g","-79%4,35 g","-78%4,03 g"
Proteine,"6,9 g","5,52 g","-30%9,83 g","-27%9,47 g","-11%7,75 g","-1%6,98 g"
Sale,0 g,0 g,"-100%0,307 g","-100%0,732 g","-100%0,594 g","-100%0,534 g"
Sodio,0 g,0 g,"-100%0,121 g","-100%0,288 g","-100%0,234 g","-100%0,21 g"
Alcol,0 % vol,0 % vol,?,?,0 % vol,0 % vol
Vitamina B1 (tiamina),"0,23 mg","0,184 mg",?,?,?,?
Vitamina B5 (Acido pantotenico),"2,39 mg","1,91 mg",?,?,?,?
Nutrition score - France,0,0,"-100%0,885","-100%3,08","-100%3,1","-100%3,88"
Nutri-Score,B,B,B,C,C,C
