,label,vitamin b2,vitamin b6,dietary fiber,proteins,total cobalamin,total ascorbic acid,carbohydrate,total aneurine,total vitamin e,lipid,total 12-octadecadienoic acid,starches,total sodium,potassium k,total vitamin d,water,total selenium,total sugars,total polyunsaturated lipids,folate,total cholesteryl alcohol,total zinc zn,total iodine i,total B-carotene,total calcium,vitamin a,total phosphorus p
label,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dietary fiber,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proteins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total cobalamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total ascorbic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carbohydrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total aneurine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total vitamin e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lipid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total 12-octadecadienoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
starches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total sodium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
potassium k,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total vitamin d,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total selenium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total sugars,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total polyunsaturated lipids,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total cholesteryl alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total zinc zn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total iodine i,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total B-carotene,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total calcium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitamin a,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total phosphorus p,,,,,,,,,,,,,,,,,,,,,,,,,,,,
