Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,"Come vendutoper porzione (6,7 g)",Biscotti,Biscuits and cakes,Sugary snacks
Grassi,"17,3 g","1,16 g","-5%18,3 g","-6%18,4 g","-22%22,2 g"
- Acidi Grassi saturi,"7,8 g","0,523 g","+8%7,2 g","+5%7,41 g","-28%10,8 g"
- Acidi grassi monoinsaturi,"6,6 g","0,442 g",?,?,?
- Acidi grassi polinsaturi,"2,9 g","0,194 g",?,?,?
Carboidrati,"69,9 g","4,68 g","+5%66,6 g","+8%64,7 g",+18%59 g
- Zuccheri,23 g,"1,54 g","-4%23,9 g","-6%24,4 g","-14%26,8 g"
- Amido,"46,9 g","3,14 g",?,?,?
Fibra alimentare,2 g,"0,134 g","-49%3,94 g","-48%3,88 g","-54%4,39 g"
Proteine,"7,8 g","0,523 g","+12%6,99 g","+12%6,99 g","+9%7,15 g"
Sale,"0,508 g","0,034 g","-16%0,604 g","-14%0,591 g","+6%0,477 g"
Sodio,"0,2 g","0,013 g","-16%0,238 g","-14%0,233 g","+6%0,188 g"
Nutrition score - France,17,17,"+15%14,8","+12%15,2","+2%16,7"
Nutri-Score,D,D,D,D,D
