name,Categorie,Confezionamento,"Etichette, certificazioni, premi",Link alla pagina del prodotto sul sito ufficiale del produttore,Luoghi di produzione o lavorazione,Marche,Negozi,Nome generico,NutriScore,Nutrition score  France,Origine degli ingredienti,Paesi di vendita,Quantità,acidi grassi saturi | g,additives,barcode,carboidrati | g,codice EMB,fibra alimentare | g,grassi | g,ingredients,proteine | g,sale | g,sodio | g,zuccheri | g
crackers gran pavesi salati — 560 g," Salty snacks, Appetizers, Crackers", Carta,,,, Pavesi,, Cracker salati in superficie,D,12,, Italia, 560 g,2.6266871413561788,E500ii - Carbonato acido di sodio,,66.87949567606887,,5.354400711226057,14.143699991917885,"Farina di frumento, Olio di soia, Estratto di malto d'orzo e mais, Sale 1,7%, Correttore di acidità: carbonato acido di sodio, Farina di orzo maltato, Lievito",10.10264285136992,2.52566071284248,0.9941000565748,3.0307928554109758
Super foods granola — Kellogg's — 300 g," Cibi e bevande a base vegetale, Cibi a base vegetale, Breakfasts, Cereali e patate, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Mixed cereal flakes, Mueslis, Mueslis with fruits"," Cartone, Cellophane",,,, Kellogg's, Carrefour Market, pepite di cereali e semi di lino con mirtilli rossi zuccherati e uva sultanina,C,6,," Francia, Italia", 300 g,2.004663480306819,,5053827188784,66.47042066280505,,8.54619694236065,15.826290634001202,"Avena integrale (35%), Farro (9,5%), Olio di girasole non idrogenato, Zucchero, Pezzi di mirtilli rossi (8%) (Mirtilli rossi, Zucchero, Olio di girasole non idrogenato), Uva sultanina (8%), Orzo integrale (8%), Segale integrale (5,5%), Sciroppo di riso integrale, semi di lino (5%), Crema di datteri, Sale, Antiossidante (Estratto ricco di tocoferolo), Aroma naturale.",8.862722755040673,0.2110172084533494,0.08335179733907301,26.377151056668673
Frollini Al Cacao (con fave di cacao) — Alce Nero — 250 g," Sugary snacks, Biscuits and cakes, Biscotti",,,,, Alce Nero,, Frollini al cacao con fave di cacao,D,18,," Francia, Italia", 250 g,9.814353750632767,E500i - Carbonato di sodio,8009004901230,65.08466171472256,,4.545595421345703,21.694887238240852,"farina di frumento, zucchero di canna, fave di cacao in granella 10%, burro di cacao, olio extravergine di oliva 6%, cacao in polvere 5%, agenti lievitanti: carbonati di ammonio, carbonati di sodio, sale",7.954791987354979,0.5165449342438299,0.20351870409206896,25.827246712191492
Crema spalmabile alla nocciola — Choco Nussa — 300 g," Spreads, Breakfasts, Sweet spreads, fr",,,,," Choco Nussa, Lidl",,,E,20,, Italia, 300 g,5.26587397710398,,20968663,62.13731292982696,,,28.435719476361488,"zucchero di canna, oli e grassi vegetali (girasole e burro di cacao), 16% nocciole, latte scremato in polvere, 8% cacao magro in polvere, emulsionante: lecitina di girasole; aroma naturale di vaniglia', da agricoltura biologica. Può contenere tracce dl sola e altra frutta a gusclo.",9.162620720160923,0.18957146317574325,0.0747754104748765,58.97778854356457
BuoniCosì cracker senza lieviti Galbusera — 300 g," Salty snacks, Appetizers, Crackers", Carta,,,, Galbusera,, crackers senza lieviti,B,1,, Italia, 300 g,1.848163131199047,,,72.79709222334024,,3.5936505328870356,12.526439000349093,"Farina di grano tenero tipo 2 76%, Farine di cereali 21% (mais 14%, orzo 7% sul prodotto), Olio di girasole alto oleico 11%, Sale marino integrale 1%, Aromi, Potassio cloruro, Emulsionante: lecitina di girasole",9.651518574039466,1.0267572951105814,0.4045423742735692,2.566893237776454
frollini con grano saraceno — esselunga — 350 g," Sugary snacks, Biscuits and cakes, Biscotti", busta carta,,,, Esselunga,,,D,18,, Italia, 350 g,5.920425467864131,E500ii - Carbonato acido di sodio; E503ii - Carbonato acido di ammonio; E336i - Tartrato monopotassico,8002330134655,65.02433395213487,,5.017309718528925,19.86854648537454,"INGREDIENTI: farina di frumento, zucchero di canna 11%, olio di semi di mais, gocce di cioccolato fondente 11% ( pasta di cacao, zucchero, destrosio, emulsionante: lecitina di soia zucchero, farina di fiocchi di avena, farina di grano saraceno 6%, burro, latte intero in polvere, latte intero italiano fresco pastorizzato, uova italiane, melasso, agenti lievitanti (carbonato acido di sodio, carbonato acido di ammonio, tartrato monopotassico), sale, emulsionante: lecitina di girasole, aromi. Puo contenere tracce di frutta a guscio e semi di sesamo.",7.425618383422809,1.9115950027595203,0.7525964577793387,25.086548592644625
Tarallini alla cipolla — L'arte del Gusto — 300g, Aperitivo, Plastica,, http," Cerignola (FG), Italia", L'arte del Gusto,, Tarallini alla cipolla prodotto da forno,E,23,, Italia, 300g,12.437019630378341,,8032680730702,65.77664672502077,,2.0523134703594623,20.605227242409,"Farina di grano tenero tipo ""00"", vino bianco, olio extra vergine di oliva, olio di sansa di oliva, sale, cipolla (0.5%). Contiene glutine.",8.619716575509743,2.1138828744702467,0.8322131122307621,1.9086515274343
Barre Special K Chocolat Fondant — Kellogg's," Sugary snacks, Bars, Cereal bars, Chocolate cereal bars"," Sachet, Plastique",,,, Kellogg's,, Barre Special K Chocolat Fondant,D,11,, Italia,,5.030181086519115,,5050083490064,71.7068367652725,,10.274412432039043,9.846311914037416,,7.277708806027655,0.6421507770024402,0.25257930562095976,29.96703626011388
Grissini rustici Despar — 300 g suddivisi in 4 confezioni," Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Pani, Breadsticks", sacchetto di plastica,,, Sant'Ilario d'Enza (RE)-Italia, Despar,, grissini,D,12,, Italia, 300 g suddivisi in 4 confezioni,1.3289172391233235,Iodato di potassio,,71.55708210664051,,3.884527314360484,8.177952240758914,"Farina di grano tenero tipo 0, olio di oliva, crema di lievito, PRESAL sale iodato (sale, iodato di potassio 0,007%), aromi naturali",12.675825973176316,2.657834478246647,1.0467778868171411,1.7378148511612692
Crackers di riso 100% Senza glutine BIO — RISO SCOTTI — 200 g, Prodotti da forno, Confezione in plastica," Biologico, Senza glutine",, Italia, RISO SCOTTI,,,B,0,, Italia, 200 g,0.31984988378787554,,8001860251566,88.49180118131224,,0.8529330234343349,1.0661662792929187,"farina di riso, sale marino",8.10286372262618,1.0661662792929187,0.42006951404140996,0.31984988378787554
preparato per seitan — fiorentini — 200 g," Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Cereals and their products, Meat analogues, Seitan",," Agriculture UE/Non UE, Vegan ok",,, Fiorentini,,,D,13,, Italia, 200 g,0.32361761342797346,,8002885007749,33.4404867208906,,1.2944704537118938,1.7259606049491922,"Glutine di frumento*, farina di grano tenero*, sale marino",59.32989579512847,3.020431058661086,1.1887553666587563,0.5393626890466225
Muesli Croccante alla frutta — Tre Mulini — 375g," Cibi e bevande a base vegetale, Cibi a base vegetale, Breakfasts, Cereali e patate, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Mixed cereal flakes, Mueslis, Mueslis with fruits"," Plastica, Cartone"," Biologico, Biologico UE, Senza olio di palma; ", http," Costa di Mezzate (BG), Italia"," Tre Mulini, Amo Essere Biologico", Eurospin, Muesli Croccante alla frutta da agricoltura biologica,C,9,, Italia, 375g,2.129993503519814,,8017596079916,77.63826320329723,,4.153487331863637,10.223968816895107,"Fiocchi di AVENA 40%, frutta 17% (in proporzione variabile: uva sultanina, cocco a scaglie, NOCCIOLE, banana), zucchero, sciroppo di mais, olio di semi di girasole, farina di riso, farina di mais, miele, sale, antiossidante: estratto ricco di tocoferoli.",7.241977911967368,0.5324983758799535,0.2098043600967017,26.092420418117722
Pasticceria assortita — Bonoét — 200 g," Sugary snacks, Biscuits and cakes, Biscotti, Chocolate biscuits", Plastique,,, Union Européenne, Bonoét, Oh Marché Malin, Assortiment de biscuits avec chocolat fondant 9% et chocolat au lait 8%,,,," Francia, Italia", 200 g,,E500ii - Carbonato acido di sodio; E503ii - Carbonato acido di ammonio; E160ai - Beta-carotene; E322i - E322(i) food additive; Huile végétale; E160a - Béta-carotène,8032998901238,65.09129967776583,,,28.67883995703544,"Farine de froment, sucre, graisse végétale, masse de cacao, beurre de cacao, lait entier en poudre, cacao maigre en poudre, gras butyrique, serum de lait en poudre, arôme naturel, lait écrémé en poudre, sirop de sucre inverti, oeufs en poudre, lactose, amidon de froment, riz soufflé, flocon d'avoine, sirop de glucose, poudre à lever : carbonate acide de sodium - carbonate acide d'ammonium, colorant : bêta-carotène, blanc d'oeuf en poudre, sel, dextrose, émulsifiant : lécithine de soja.",6.229860365198711,,,
cracker di riso bio Riso Scotti — 200 g," Salty snacks, Appetizers, Crackers", Carta," Biologico, Senza glutine",,," Riso Scotti, Scotti",," Crackers 100% Riso - Biologici, senza glutine",C,3,, Italia, 200 g,0.31984988378787554,,,88.49180118131224,,0.8529330234343349,1.0661662792929187,"Farina di riso*, Sale marino, *=Da agricoltura biologica",8.10286372262618,1.0661662792929187,0.42006951404140996,0.31984988378787554
Grissotti con Olive Nere — Crescentino — 250 g e," Salty snacks, Appetizers, Crackers, fr"," Sachet, Plastique",,, Italie, Crescentino,, Grissotti aux olives noires,D,12,," Francia, Italia", 250 g e,3.5136308207428226,,8027151000118,68.41245892152202,,3.9269991525949193,11.677655374821736,"Farine de blé tendre,eau,olives noires (7 %), huile d'olive extra vierge,huile de tournesol,levure,sel.",12.814418287415,2.2735258251865327,0.8949424384597896,1.8601574933344356
Tuc Stick Grissini Portabili E Gustosi 40g — 40 g," Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Pani, Breadsticks", Carton,,,," Tuc, Tuc Stick",, Breadstick,E,19,," Francia, Italia", 40 g,11.45475372279496,,7622210068521,60.39779235655524,,3.332291992085807,26.033531188170368,"Farina di frumento, oli vegetali (palma. colza), zucchero, agenti lievitanti (carbonati di ammonio, carbonati di sodio), sale  1,4%, cloruro di potassio, lievito disidratato, aromi, lecitine di soia.",7.914193481203791,1.6661459960429035,0.6560449859418932,5.5191086118921175
Crema alle nocciole — Pam & Panorama — 350 g," Spreads, Breakfasts, Sweet spreads, fr",," Biologico, Biologico UE, Senza olio di palma; ",,, Pam & Panorama,,,E,24,, Italia, 350 g,9.173235485488155,,8004263684238,57.59938560655353,,,33.06631395931777,,9.066569956587129,0.19199795202184508,0.07573252551972778,55.46607502853303
Marguerites au Chocolat — Alfieri — 200 g," Sugary snacks, Biscuits and cakes, Biscotti, Chocolate biscuits"," Sachet, Plastique", Fatto in Italia,, Italie, Alfieri,, Marguerites au Chocolat,E,22,," Francia, Italia", 200 g,11.277861646390196,E450i - Difosfato disodico; E500ii - Carbonato acido di sodio,8015488200370,64.30255848602356,,,26.16700707456413,"Farine de BLÉ tendre type ""00"", crème chocolat-NOISETTE 19%, sucre, BEURRE, ŒUFS, AMANDES, vanille. Poudres à lever: diphosphate disodique, carbonate acide de sodium, amidon maïs.",9.393284590869175,0.09866895578644092,0.03848089275671196,28.722533029432952
Choco Creme — Mister Choc — 750 g," Spreads, Breakfasts, Sweet spreads, fr", 70 GL," German Agricultural Society, Sustainable farming, UTZ Certified, 2015 Gold medal of the German Agricultural Society, Gold medal of the German Agricultural Society, UTZ Certified Cacao; ",,, Mister Choc, Lidl, Magermilch-Schokocreme,E,25,," Germania, Italia", 750 g,8.652746732042974,,,58.92108488962597,,,37.495235838852885,"Zucker, Rapsöl, Palmöl, 5,5% Magermilchpulver, Süßmolkenpulver, 2,5% fettarmes Kakaopulver, 1% Haselnüsse, Emulgator: Sonnenblumenlecithine",3.296284469349705,0.20601777933435655,0.08137702283707084,58.612058220624434
m&m's Peanut — 200 g," Sugary snacks, Dolce, Chocolate candies, Candies, Chocolate covered peanuts"," Sachet, Plastique",,,, M&M's, Monoprix, Cacahuètes (23%) enrobées de chocolat au lait (48%) et dragéifiées,E,26,," Belgio, Francia, Italia", 200 g,10.611584488174913,E322i - E322(i) food additive; E414 - Gomma d'acacia; E100 - Curcumina; E120 - Cocciniglia; E133 - Blu brillante FCF; ; ; ; Moderato rischio di sovraesposizione; ; ; E160e - Beta-apo-8′-carotenale (c30); E171 - Biossido di titanio; E1400 - Destrina; E903 - Cera carnauba; Huile végétale,5000159386821,63.144180964288346,,,26.68655900986562,"sucre, cacahuètes, pâte de cacao,lait écrémé en poudre, lactose et protéines de lait, matière grasse végétale, beurre de cacao, beurre concentré, amidon, sirop de glucose, émulsifiant (lécithine de soja), gélifiant (gomme arabique), colorants (E100, E120, E133, E160e, E171), dextrine, agent d'enrobage (cire de carnauba), arômes, sel, huile végétale",9.876128137509324,0.2101303859044537,0.08300150243225922,56.31494342239359
Selex Crackers con Mais — 200 g, Prodotti da forno," Sacchetto, Plastica",,,," SELEX, Selex Gruppo Commerciale SpA Via Cristoforo Colombo 51 20090  Trezzano sul Naviglio Italy, Solo cose buone, Solo Cose Buone srl Via Monari 20 - 44124 Ferrara",, Crackers con Mais Prodotto da forno,C,10,, Italia, 200 g,1.431697789049557,,8003100873347,73.63017200826295,,4.090565111570164,9.203771501032868,"farina di GRANO tenero tipo “00"", farina di mais 18%, olio di oliva, olio di semi di girasole, Presal® sale iodato (sale, iodato di potassio 0,007%), lievito di birra, antiossidante: estratto di rosmarino. Contiene soia. Può contenere tracce di semi di sesamo e latte",10.22641277892541,2.044259914507189,0.8048186857014297,1.7384901724173194
Spaghetti n°5 — Conad," Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Cereals and their products, Pastas, Dry pasta, Spaghetti, Wheat pasta, Durum wheat pasta",,,,, Conad,,,A,-4,, Italia,,0.33328148954607056,,8003170020238,81.20958961939252,,3.2217210656120154,1.6664074477303528,Semola di grano duro.,13.886728731086272,0.011109382984869019,0.004443753193947608,3.2217210656120154
Coco Pops — Kellogg's — 400 g," Cibi e bevande a base vegetale, Cibi a base vegetale, Breakfasts, Cereali e patate, Cereals and their products, Breakfast cereals, Puffed grains, Puffed cereals, Chocolate cereals, Puffed rice", Carton,, www.kelloggs.fr,," Kellogg's, Coco Pops"," Carrefour, Carrefour City"," Grains de riz soufflés au chocolat enrichis en vitamines (B1, B2, PP, B6, B9, B12 et D) en calcium et en fer",D,12,," Belgio, Francia, Italia, Riunione, Svizzera", 400 g,1.039015013766949,E407a - Alga eucheuma trasformata; ; ; ; Alto rischio di sovraesposizione; ; ; Carbonato di calcio; Ferro,5053827101493,88.31627617019066,,2.078030027533898,2.597537534417372,"Riz, sucre, chocolat (4%) (sucre, pâte de cacao), cacao maigre en poudre, sel, extrait de malt d'orge, arôme; Vitamines et Minéraux : carbonate de calcium, vitamines (PE B6, B2, Bl, B9, D, B12), fer.",5.922385578471609,0.7792612603252117,0.3065094290612499,36.36552548184321
Taralli integrali — antico casale — 200, Salty snacks, Soft,,,, antico casale,,,C,6,, Italia, 200,2.996053474388908,,8010952001842,64.05355703865942,,6.611980081410004,17.563072091245324,,10.331218877203131,1.033121887720313,0.40705002376180344,1.3430584540364072
ZeroGrano cracker con riso e mais Galbusera — 380 g," Salty snacks, Appetizers, Crackers", Carta, Senza glutine,,, Galbusera,, Cracker senza glutine con riso e mais,D,12,, Italia, 380 g,2.257822843009473,E500ii - Carbonato acido di sodio; E503ii - Carbonato acido di ammonio; E341i - Fosfato monocalcico; E336i - Tartrato monopotassico,,77.58700315068914,,2.0525662209177025,14.778476790607458,"Farina di riso 32%, Amido di tapioca, Olio di mais 13%, Fecola di patate, Amido di mais 10%, Uova fresche, Lievito naturale, Zucchero, Sciroppo di glucosio - fruttosio da mais, Agenti lievitanti (carbonato acido di sodio, carbonato acido di ammonio, fosfato monocalcico, tartrato monopotassico), Sale marino integrale, Miele, Emulsionante: lecitina di girasole, Rosmarino",3.0788493313765537,1.7959954433029897,0.7071090631061485,4.105132441835405
Cioccolato fondente 60% con Scorze d'Arancia — Sperlari — 35 g," Sugary snacks, Cioccolato, Cioccolato fondente"," étui, Papier"," Fair trade, Fairtrade International, en",, Italie," Sperlari, Cloetta Italia",, Cioccolato fondante (cacao ,E,19,, Italia, 35 g,20.67653626664461,,80867661,49.623687039947065,,7.753701099991729,35.15011165329584,"Pasta di cacao; zucchero di canna; scorza d'arancia candita (7%) (scorza d'arancia, sciroppo di glucosio-fruttosio, zucchero, destrosio); burro di cacao; emulsionante: lecitina di soia; olio essenziale di arancia; estratto di vaniglia naturale.",7.4435530559920595,0.02067653626664461,0.008270614506657843,41.35307253328922
