,0,1,2
1,Parte edibile (%):,100,
2,Acqua (g):,2.5,
3,Proteine (g):,20.4,
4,Lipidi(g):,25.6,
5,Colesterolo (mg):,0,
6,Carboidrati disponibili (g):,11.5,
7,Amido (g):,10.5,
8,Zuccheri solubili (g):,tr,
9,Fibra totale (g):,,
10,Fibra solubile (g):,,
11,Fibra insolubile (g):,,
12,Alcol (g):,0,
13,Energia (kcal):,355,
14,Energia (kJ):,1486,
15,Sodio (mg):,,
16,Potassio (mg):,,
17,Ferro (mg):,14.3,
18,Calcio (mg):,51,
19,Fosforo (mg):,685,
20,Magnesio (mg):,,
21,Zinco (mg):,,
22,Rame (mg):,,
23,Selenio (µg):,,
24,Tiamina (mg):,0.08,
25,Riboflavina (mg):,0.3,
26,Niacina (mg):,1.7,
27,Vitamina A retinolo eq. (µg):,7,
28,Vitamina C (mg):,0,
29,Vitamina E (mg):,,
