Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (100g),Non-Alcoholic beverages,Fermented foods,Fermented milk products,Bevande,Latticini
Grassi,"1,5 g","1,5 g","+148%0,604 g","-87%11,9 g","-87%11,9 g","+185%0,527 g","-90%15,4 g"
- Acidi Grassi saturi,"0,9 g","0,9 g","+577%0,133 g","-89%7,9 g","-89%7,9 g","+663%0,118 g","-91%9,61 g"
Carboidrati,4 g,4 g,"-52%8,35 g","-44%7,16 g","-44%7,16 g","-56%9,03 g","-34%6,1 g"
- Zuccheri,4 g,4 g,"-47%7,52 g","-35%6,16 g","-35%6,16 g","-50%8,07 g","-26%5,42 g"
Fibra alimentare,0 g,0 g,"-100%0,4 g","-100%0,205 g","-100%0,205 g","-100%0,46 g","-100%0,133 g"
Proteine,"3,4 g","3,4 g","+347%0,761 g",-66%10 g,-66%10 g,"+356%0,745 g","-57%7,89 g"
Sale,"0,1 g","0,1 g","-44%0,177 g","-81%0,529 g","-81%0,529 g","-26%0,136 g","-75%0,405 g"
Sodio,"0,039 g","0,039 g","-44%0,07 g","-81%0,208 g","-81%0,208 g","-26%0,054 g","-75%0,159 g"
Alcol,0 % vol,0 % vol,?,?,?,"-100%8,48 % vol",?
Vitamina B12 (Cobalamina),"0,5 µg","0,5 µg",?,?,?,?,?
Calcio,120 mg,120 mg,?,-68%374 mg,-68%374 mg,?,-55%268 mg
Nutrition score - France,-2,-2,"-132%6,33","-132%6,32","-132%6,32","-129%6,99","-134%5,86"
Nutri-Score,A,A,C,C,C,C,C
