Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (60 g),Biscotti,Biscuits and cakes,Sugary snacks
Grassi,"21,4 g","12,8 g","+17%18,3 g","+16%18,4 g","-4%22,3 g"
- Acidi Grassi saturi,"5,35 g","3,21 g","-26%7,2 g","-28%7,41 g","-51%10,9 g"
Carboidrati,"60,69 g","36,4 g","-9%66,6 g","-6%64,7 g","+3%58,8 g"
- Zuccheri,"2,5 g","1,5 g","-90%23,9 g","-90%24,4 g","-91%26,8 g"
Proteine,"9,6 g","5,76 g","+37%6,99 g","+37%6,99 g","+34%7,15 g"
Sale,"2,388 g","1,43 g","+295%0,604 g","+304%0,591 g","+406%0,472 g"
Sodio,"0,94 g","0,564 g","+295%0,238 g","+304%0,233 g","+406%0,186 g"
Vitamina A (Retinolo),0 µg,0 µg,?,?,?
Vitamina C (Acido ascorbico),0 mg,0 mg,?,?,?
Calcio,"15,7 mg","9,42 mg",?,?,?
Ferro,"1,5 mg","0,9 mg",?,?,?
Nutrition score - France,20,20,"+35%14,8","+32%15,2","+20%16,7"
Nutri-Score,E,E,D,D,D
