,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,92.80,,
2,Calorie,kcal,21.00,,
3,Fibra alimentare,g,1.50,,
4,Proteine totali,g,2.00,,31.92
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,2.00,,
7,Glucidi disponibili,g,3.60,,53.72
8,Glucidi solubili,g,3.60,,
9,Amido,g,0.00,,
10,Lipidi totali,g,0.40,,14.36
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.40,,
13,Lipidi saturi totali,g,0.05,,
14,Acido oleico,g,0.01,,
15,Monoinsaturi totali,g,0.01,,
16,Acido linoleico,g,0.06,,
17,Acido linolenico,g,0.06,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.12,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,2.20,,
23,Calcio,mg,38.00,4.75,
24,Sodio,mg,4.00,,
25,Potassio,mg,459.00,14.81,
26,Fosforo,mg,53.00,6.62,
27,Zinco,mg,0.60,6.00,
28,Tiamina (Vit.B1),mg,0.07,4.96,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.09,5.62,
31,Niacina (Vit. PP),mg,0.40,2.19,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,14.00,7.00,
34,Retinolo (equivalente),mcg,709.00,607.71,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,4254.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.60,6.00,
