,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,10.00,,
2,Calorie,kcal,395.00,,
3,Fibra alimentare,g,23.70,,
4,Proteine totali,g,8.80,,8.92
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,8.80,,
7,Glucidi disponibili,g,26.30,,24.93
8,Glucidi solubili,g,26.30,,
9,Amido,g,0.00,,
10,Lipidi totali,g,29.00,,66.15
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,29.00,,
13,Lipidi saturi totali,g,20.72,,
14,Acido oleico,g,1.27,,
15,Monoinsaturi totali,g,2.57,,
16,Acido linoleico,g,0.28,,
17,Acido linolenico,g,0.28,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.56,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,9.30,,
23,Calcio,mg,103.00,12.88,
24,Sodio,mg,16.00,,
25,Potassio,mg,350.00,11.29,
26,Fosforo,mg,210.00,26.25,
27,Zinco,mg,2.20,22.00,
28,Tiamina (Vit.B1),mg,0.09,6.38,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.10,6.25,
31,Niacina (Vit. PP),mg,0.50,2.74,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,8.00,6.86,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,48.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,2.72,27.20,
