,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,89.10,,
2,Calorie,kcal,49.00,,
3,Fibra alimentare,g,2.50,,
4,Proteine totali,g,1.10,,8.84
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,1.10,,
7,Glucidi disponibili,g,2.50,,18.79
8,Glucidi solubili,g,2.50,,
9,Amido,g,0.00,,
10,Lipidi totali,g,4.00,,72.36
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,4.00,,
13,Lipidi saturi totali,g,0.46,,
14,Acido oleico,g,1.29,,
15,Monoinsaturi totali,g,1.31,,
16,Acido linoleico,g,1.98,,
17,Acido linolenico,g,1.98,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,3.96,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.30,,
23,Calcio,mg,13.00,1.62,
24,Sodio,mg,25.00,,
25,Potassio,mg,177.00,5.71,
26,Fosforo,mg,32.00,4.00,
27,Zinco,mg,0.20,2.00,
28,Tiamina (Vit.B1),mg,0.05,3.55,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.05,3.12,
31,Niacina (Vit. PP),mg,0.60,3.29,
32,Vitamina C,mg,11.00,18.33,
33,Acido folico,mg,17.00,8.50,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,1.95,19.50,
