,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,56.50,,
2,Calorie,kcal,250.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,15.60,,24.98
5,Proteine animali,g,15.60,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,1.50,,2.25
8,Glucidi solubili,g,1.50,,
9,Amido,g,0.00,,
10,Lipidi totali,g,20.20,,72.78
11,Lipidi animali,g,20.20,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,14.19,,
14,Acido oleico,g,3.77,,
15,Monoinsaturi totali,g,4.39,,
16,Acido linoleico,g,0.31,,
17,Acido linolenico,g,0.31,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.62,,
20,Colesterolo,mg,70.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.20,,
23,Calcio,mg,360.00,45.00,
24,Sodio,mg,1440.00,,
25,Potassio,mg,95.00,3.06,
26,Fosforo,mg,280.00,35.00,
27,Zinco,mg,0.90,9.00,
28,Tiamina (Vit.B1),mg,0.04,2.84,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.21,13.12,
31,Niacina (Vit. PP),mg,0.20,1.10,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,225.50,36.14,
35,Retinolo,mcg,220.00,,
36,Carotene,mcg,33.00,,
37,Vitamina D,mcg,0.50,5.00,
38,Vitamina E,mg,0.37,3.70,
