,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,83.30,,
2,Calorie,kcal,27.00,,
3,Fibra alimentare,g,3.20,,
4,Proteine totali,g,1.30,,18.43
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,1.30,,
7,Glucidi disponibili,g,5.00,,72.00
8,Glucidi solubili,g,1.50,,
9,Amido,g,3.50,,
10,Lipidi totali,g,0.30,,9.57
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.30,,
13,Lipidi saturi totali,g,0.07,,
14,Acido oleico,g,0.01,,
15,Monoinsaturi totali,g,0.01,,
16,Acido linoleico,g,0.11,,
17,Acido linolenico,g,0.11,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.22,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.90,,
23,Calcio,mg,42.00,5.25,
24,Sodio,mg,5.00,,
25,Potassio,mg,310.00,10.00,
26,Fosforo,mg,42.00,5.25,
27,Zinco,mg,0.20,2.00,
28,Tiamina (Vit.B1),mg,0.06,4.26,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.01,0.62,
31,Niacina (Vit. PP),mg,0.20,1.10,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,57.00,28.50,
34,Retinolo (equivalente),mcg,3.33,2.86,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,20.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.19,1.90,
