,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,5.50,,
2,Calorie,kcal,502.00,,
3,Fibra alimentare,g,2.80,,
4,Proteine totali,g,9.80,,7.40
5,Proteine animali,g,1.20,,
6,Proteine vegetali,g,8.60,,
7,Glucidi disponibili,g,62.10,,49.26
8,Glucidi solubili,g,0.00,,
9,Amido,g,62.10,,
10,Lipidi totali,g,25.50,,43.34
11,Lipidi animali,g,13.10,,
12,Lipidi vegetali,g,12.40,,
13,Lipidi saturi totali,g,9.45,,
14,Acido oleico,g,8.79,,
15,Monoinsaturi totali,g,9.07,,
16,Acido linoleico,g,4.50,,
17,Acido linolenico,g,4.50,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,9.00,,
20,Colesterolo,mg,13.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,4.80,,
23,Calcio,mg,151.00,18.88,
24,Sodio,mg,995.00,,
25,Potassio,mg,145.00,4.68,
26,Fosforo,mg,218.00,27.25,
27,Zinco,mg,1.10,11.00,
28,Tiamina (Vit.B1),mg,0.57,40.43,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.43,26.88,
31,Niacina (Vit. PP),mg,4.70,25.78,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,31.00,6.57,
35,Retinolo,mcg,28.00,,
36,Carotene,mcg,18.00,,
37,Vitamina D,mcg,0.01,0.10,
38,Vitamina E,mg,1.01,10.10,
