,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,2.00,,
2,Calorie,kcal,514.00,,
3,Fibra alimentare,g,3.30,,
4,Proteine totali,g,7.20,,5.31
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,7.20,,
7,Glucidi disponibili,g,71.10,,54.40
8,Glucidi solubili,g,7.20,,
9,Amido,g,63.90,,
10,Lipidi totali,g,24.30,,40.29
11,Lipidi animali,g,11.40,,
12,Lipidi vegetali,g,12.90,,
13,Lipidi saturi totali,g,7.06,,
14,Acido oleico,g,13.11,,
15,Monoinsaturi totali,g,13.67,,
16,Acido linoleico,g,2.74,,
17,Acido linolenico,g,2.74,,
18,Altri polinsaturi,g,0.21,,
19,Polinsaturi totali,g,5.69,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,2.20,,
23,Calcio,mg,38.00,4.75,
24,Sodio,mg,1180.00,,
25,Potassio,mg,260.00,8.39,
26,Fosforo,mg,220.00,27.50,
27,Zinco,mg,1.30,13.00,
28,Tiamina (Vit.B1),mg,0.50,35.46,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.10,6.25,
31,Niacina (Vit. PP),mg,5.30,29.07,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,25.00,12.50,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,2.68,26.80,
