,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,83.20,,
2,Calorie,kcal,53.00,,
3,Fibra alimentare,g,5.00,,
4,Proteine totali,g,0.80,,6.07
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,0.80,,
7,Glucidi disponibili,g,13.00,,92.22
8,Glucidi solubili,g,13.00,,
9,Amido,g,0.00,,
10,Lipidi totali,g,0.10,,1.71
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.10,,
13,Lipidi saturi totali,g,0.01,,
14,Acido oleico,g,0.01,,
15,Monoinsaturi totali,g,0.01,,
16,Acido linoleico,g,0.04,,
17,Acido linolenico,g,0.04,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.08,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.40,,
23,Calcio,mg,30.00,3.75,
24,Sodio,mg,5.00,,
25,Potassio,mg,238.00,7.68,
26,Fosforo,mg,25.00,3.12,
27,Zinco,mg,0.70,7.00,
28,Tiamina (Vit.B1),mg,0.01,0.71,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.03,1.88,
31,Niacina (Vit. PP),mg,0.50,2.74,
32,Vitamina C,mg,2.00,3.33,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,10.00,8.57,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,60.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.01,0.10,
