,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,93.40,,
2,Calorie,kcal,10.00,,
3,Fibra alimentare,g,3.60,,
4,Proteine totali,g,1.40,,55.90
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,1.40,,
7,Glucidi disponibili,g,0.70,,26.13
8,Glucidi solubili,g,0.70,,
9,Amido,g,0.00,,
10,Lipidi totali,g,0.20,,17.97
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.20,,
13,Lipidi saturi totali,g,0.05,,
14,Acido oleico,g,0.00,,
15,Monoinsaturi totali,g,0.00,,
16,Acido linoleico,g,0.07,,
17,Acido linolenico,g,0.07,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.14,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.70,,
23,Calcio,mg,74.00,9.25,
24,Sodio,mg,14.00,,
25,Potassio,mg,236.00,7.61,
26,Fosforo,mg,31.00,3.88,
27,Zinco,mg,0.20,2.00,
28,Tiamina (Vit.B1),mg,0.03,2.13,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.19,11.88,
31,Niacina (Vit. PP),mg,0.30,1.65,
32,Vitamina C,mg,17.00,28.33,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,219.00,187.71,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,1314.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.57,5.70,
