,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,26.90,,
2,Calorie,kcal,334.00,,
3,Fibra alimentare,g,2.80,,
4,Proteine totali,g,6.40,,7.34
5,Proteine animali,g,2.40,,
6,Proteine vegetali,g,4.00,,
7,Glucidi disponibili,g,56.50,,65.04
8,Glucidi solubili,g,22.90,,
9,Amido,g,33.60,,
10,Lipidi totali,g,10.70,,27.62
11,Lipidi animali,g,10.20,,
12,Lipidi vegetali,g,0.50,,
13,Lipidi saturi totali,g,5.57,,
14,Acido oleico,g,2.82,,
15,Monoinsaturi totali,g,3.19,,
16,Acido linoleico,g,0.59,,
17,Acido linolenico,g,0.59,,
18,Altri polinsaturi,g,0.01,,
19,Polinsaturi totali,g,1.19,,
20,Colesterolo,mg,112.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,3.00,,
23,Calcio,mg,149.00,18.62,
24,Sodio,mg,38.00,,
25,Potassio,mg,234.00,7.55,
26,Fosforo,mg,130.00,16.25,
27,Zinco,mg,0.60,6.00,
28,Tiamina (Vit.B1),mg,0.13,9.22,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.11,6.87,
31,Niacina (Vit. PP),mg,0.60,3.29,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,33.00,16.50,
34,Retinolo (equivalente),mcg,112.50,23.57,
35,Retinolo,mcg,102.00,,
36,Carotene,mcg,63.00,,
37,Vitamina D,mcg,0.35,3.50,
38,Vitamina E,mg,0.62,6.20,
