,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,90.00,,
2,Calorie,kcal,17.00,,
3,Fibra alimentare,g,7.00,,
4,Proteine totali,g,1.70,,38.99
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,1.70,,
7,Glucidi disponibili,g,2.00,,45.53
8,Glucidi solubili,g,1.00,,
9,Amido,g,1.00,,
10,Lipidi totali,g,0.30,,15.48
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.30,,
13,Lipidi saturi totali,g,0.07,,
14,Acido oleico,g,0.00,,
15,Monoinsaturi totali,g,0.00,,
16,Acido linoleico,g,0.03,,
17,Acido linolenico,g,0.03,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.06,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,1.20,,
23,Calcio,mg,11.00,1.38,
24,Sodio,mg,2.00,,
25,Potassio,mg,390.00,12.58,
26,Fosforo,mg,162.00,20.25,
27,Zinco,mg,0.40,4.00,
28,Tiamina (Vit.B1),mg,0.13,9.22,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.06,3.75,
31,Niacina (Vit. PP),mg,4.20,23.04,
32,Vitamina C,mg,5.00,8.33,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,3.10,31.00,
38,Vitamina E,mg,0.19,1.90,
