,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,49.40,,
2,Calorie,kcal,252.00,,
3,Fibra alimentare,g,0.90,,
4,Proteine totali,g,5.90,,9.82
5,Proteine animali,g,4.60,,
6,Proteine vegetali,g,1.30,,
7,Glucidi disponibili,g,41.40,,68.83
8,Glucidi solubili,g,18.50,,
9,Amido,g,22.90,,
10,Lipidi totali,g,5.70,,21.35
11,Lipidi animali,g,5.60,,
12,Lipidi vegetali,g,0.10,,
13,Lipidi saturi totali,g,2.81,,
14,Acido oleico,g,1.62,,
15,Monoinsaturi totali,g,1.83,,
16,Acido linoleico,g,0.30,,
17,Acido linolenico,g,0.30,,
18,Altri polinsaturi,g,0.02,,
19,Polinsaturi totali,g,0.62,,
20,Colesterolo,mg,151.00,,
21,Alcool,g,3.10,,
22,Ferro,mg,2.30,,
23,Calcio,mg,22.00,2.75,
24,Sodio,mg,315.00,,
25,Potassio,mg,74.00,2.39,
26,Fosforo,mg,40.00,5.00,
27,Zinco,mg,0.60,6.00,
28,Tiamina (Vit.B1),mg,0.00,0.00,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.11,6.87,
31,Niacina (Vit. PP),mg,0.50,2.74,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,2.52,25.20,
38,Vitamina E,mg,2.35,23.50,
