,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,5.00,,
2,Calorie,kcal,355.00,,
3,Fibra alimentare,g,13.50,,
4,Proteine totali,g,0.00,,0.00
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,0.00,,0.00
8,Glucidi solubili,g,0.00,,
9,Amido,g,0.00,,
10,Lipidi totali,g,0.00,,0.00
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,2.00,,
14,Acido oleico,g,0.00,,
15,Monoinsaturi totali,g,2.30,,
16,Acido linoleico,g,0.00,,
17,Acido linolenico,g,0.00,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.00,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,21.00,,
23,Calcio,mg,735.00,91.88,
24,Sodio,mg,500.00,,
25,Potassio,mg,750.00,24.19,
26,Fosforo,mg,550.00,68.75,
27,Zinco,mg,12.00,120.00,
28,Tiamina (Vit.B1),mg,1.43,101.42,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,1.34,83.75,
31,Niacina (Vit. PP),mg,22.00,120.68,
32,Vitamina C,mg,95.00,158.33,
33,Acido folico,mg,310.00,155.00,
34,Retinolo (equivalente),mcg,838.00,419.00,
35,Retinolo,mcg,419.00,,
36,Carotene,mcg,2514.00,,
37,Vitamina D,mcg,2.00,20.00,
38,Vitamina E,mg,10.40,104.00,
